accomplishment,"n. 成就, 完成"
architect,"n. 建筑师, 设计者, 缔造者"
ascending,"a. 上升的, 向上的
"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
carp,"n. 鲤鱼
vi. 吹毛求疵, 挑剔"
celestial,"a. 天的, 天国的, 天空的
"
ceremony,"n. 典礼, 仪式, 礼节
"
colonial,"a. 殖民的, 殖民地的
"
comparable,"a. 可比较的, 比得上的"
complementary,"a. 补充的, 补足的
"
congressional,"a. 会议的, 议会的, 国会的
"
cornerstone,"n. 奠基石, 基础"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
department,"n. 部门, 系, 机关
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
digression,"n. 离题, 扯到枝节上, 偏离"
director,"n. 主管, 导演, 董事
"
disadvantage,"n. 缺点, 不利, 坏处"
distinguish,"v. 区别, 辨别"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
flagellum,"n. 鞭毛, 鞭状葡萄枝, 鞭子
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
foolish,"a. 愚蠢的, 傻的"
fungi,"pl. 真菌, 突然发生而迅速生长的东西
"
glacial,"a. 冰的, 冰川的, 冰川时代的, 冰冷的
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
improvise,"vt. 即席创作, 临时做"
inconspicuous,"a. 不显眼的, 不引人注意的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
journal,"n. 日记, 杂志, 日报
"
landmark,"n. 陆标, 划时代的事, 地界标
"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
lost and found,[法] 失物招领
lush,"a. 苍翠繁茂的, 多青草的, 丰富的
n. 酒, 酒鬼
v. 饮"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
nationalism,"n. 民族主义, 民族特性"
nominee,"n. 被提名者, 被任命者
"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
notation,"n. 记号, 符号表示法, 注释
"
otherwise,"adv. 否则, 不同地, 别的方式"
palate,"n. 腭, 味觉, 趣味, 爱好
"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
postcard,n. 明信片
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
quilt,"n. 棉被
vt. 加软衬料后缝制, 东拼西凑地编
vi. 缝被子"
rancher,"n. 大农场经营者, 牧场工人"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
reddish,"a. 微红的, 略带红色的"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
sheath,"n. 鞘, 叶鞘, 翅鞘
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
spacecraft,n. 航天飞船
spherical,"a. 球的, 球面的, 球状的, 天体的
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
tally,"n. 符木, 记账, 得分, 比分, 计数器, 标签, 符合, 对应物
vt. 记录, 点数, 计算, 加标签于, 使符合
vi. 记帐, 符合, 吻合, 记分
"
tenement,"n. 房屋, 住房, 保有物, 居所
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
zealous,"a. 热衷的, 热诚的, 热心的, 热情的"
accounting,"n. 会计学, 帐单, 清帐
"
acidity,"n. 酸性
"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
adoption,"n. 采用, 采纳, 收养
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
angiosperm,"n. 被子植物
"
aquifer,[化] 含水层
arboreal,"a. 树的, 栖于树木的
"
aurora,"n. 曙光, 极光, 奥罗拉(曙光女神)
"
available,"a. 可利用的, 可获得的, 有效的
"
awesome,"a. 引起敬畏的, 可怕的"
bacon,"n. 熏猪肉
"
balcony,"n. 阳台, 戏院楼厅"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
buckle,"n. 皮带扣, 扣子
vt. 扣住, 使弯曲
vi. 扣住, 变弯曲, 屈服"
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
centennial,"n. 百年纪念
a. 一百年的"
chagrin,"n. 懊恼
vt. 使懊恼"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
collaborator,"n. 合干者, 合作者, 通敌者
"
collide,"vi. 碰撞, 互撞, 抵触"
comet,n. 彗星
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
costume,"n. 装束, 服装"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
desolate,a. 荒凉的
detest,"vt. 厌恶, 憎恨"
economy,"n. 经济, 理财, 节约
"
emerald,"n. 翡翠, 绿宝石, 翠绿色
a. 翡翠的, 翠绿色的"
emotion,"n. 情绪, 激动, 强烈的情感
"
ethnology,"n. 人种学
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
expect,"vt. 预期, 盼望, 期待"
expressive,"a. 表达的, 富于表情的"
feminist,n. 男女平等主义者
financial,"a. 财政的, 金融的
"
forerunner,"n. 先驱, 前兆"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
impending,"a. 即将发生的, 迫切的, 悬空的
"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
indicative,"a. 指示的, 象征的, 表示...的
"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
landmass,n. 陆块
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
manner,"n. 样子, 礼貌, 风格
"
method,"n. 方法, 办法, 条理, 秩序
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
monumental,"a. 纪念碑的, 做为纪念的, 不朽的"
neutron,"n. 中子
"
orchid,"n. 兰花, 淡紫色
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
penmanship,"n. 书法, 笔法, 笔迹, 文体"
permission,"n. 许可, 允许
"
plow,"n. 犁
v. 犁, 耕"
preponderance,"n. 优势, 多数
"
primal,"a. 主要的, 最初的, 原始的"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
propel,"vt. 推进, 驱使
"
quotation,"n. 引用语, 语录, 牌价, 报价
"
ranch,"n. 大牧场
v. 经营牧场"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
remodel,"vt. 改造, 改型, 改变"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
sacrificial,"a. 牺牲的, 献祭的, 亏本的"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
silicon,"n. 硅
"
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
transcend,"vt. 超越, 胜过"
triangle,"n. 三角形, 三个一组, 三角关系
"
typical,"a. 典型的, 象征性的
"
viral,"a. 病毒的, 病毒引起的
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
along,"adv. 平行地, 向前
prep. 沿着"
amount,"n. 总数, 总额
vi. 总计, 等同"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
apologize,"vi. 道歉, 辩解"
astute,"a. 敏锐的, 狡猾的"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
consumption,"n. 消费, 消费量, 痨病
"
creativity,"n. 创造力, 创造性"
cuneiform,"a. 楔形的, 楔形文字的, 楔状骨的
n. 楔形文字, 楔状骨"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
detect,"vt. 发现, 察觉, 探测
"
determine,"v. 决定, 决心"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
Easter,n. 复活节
elegant,"a. 优雅的, 端庄的, 高雅的"
engaging,"a. 动人的, 迷人的, 有魅力的"
enormous,"a. 巨大的, 庞大的"
enrollment,"n. 登记, 注册, 入伍
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
fitness,"n. 适合, 合宜, 合理, 恰当, 健康
"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
folklore,"n. 民俗学, 民间风俗, 民间传说"
generalization,"n. 一般化, 普遍化, 概括
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
incessantly,"adv. 不断地, 不停地; 接连不断; 连绵不断; 不已"
instruction,"n. 指令, 教导, 命令
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
larva,"n. 幼虫
"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
melodie,[法][音]小旋律歌曲
meteorologist,n. 气象学者
musician,"n. 音乐家, 乐师, 作曲家"
normally,"adv. 正规地, 合规则, 正常地"
nutrition,"n. 营养, 营养学
"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
prefer,"vt. 宁可, 较喜欢, 提出
"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
regardless,"a. 不管, 不注意, 不顾"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
reschedule,
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
selection,"n. 选择, 选文, 精选品
"
skyscraper,"n. 摩天楼, 三角形天帆"
sled,"n. 雪撬
vt. 用雪撬搬运
vi. 乘雪撬
"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
smoothly,"adv. 平滑地, 流畅地, 流利地"
stereo,"n. 铅版, 立体照片
a. 立体的, 立体感觉的"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
summarize,"v. 概述, 总结"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
swan,"n. 天鹅, 天鹅星座, 有才华的诗人
vi. 闲荡, 蜿蜒而行"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
tolerate,"vt. 宽容, 容许, 有耐力"
tuition,"n. 学费, 讲授"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
viable,"a. 能养活的, 能生长发育的
"
volcano,n. 火山
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accredit,"vt. 信托, 确认, 归结于, 委派
"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
afford,"vt. 买得起, 足以, 给予"
annoying,"a. 恼人的, 讨厌的"
appreciation,"n. 感激, 赏识, 鉴别
"
assembly,"n. 与会者, 集会, 装配, 组件
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
captivity,"n. 囚禁, 被关
"
championship,"n. 冠军身份, 冠军称号, 捍卫"
chilled,"a. 已冷的, 冷硬了的, 冷冻了的
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
commemorate,vt. 纪念
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
critic,"n. 批评家, 鉴定家"
dehydrate,"vt. (使)脱水
"
despoil,"vt. 夺取, 掠夺"
diction,"n. 措辞, 发音, 用语"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
eternal,"a. 永恒的, 永远的, 不灭的"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
feudal,"a. 封建制度的, 封地的, 领地的"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
heed,"n. 注意, 留心
v. 注意, 留心"
hibernation,"n. 过冬, 冬眠, 避寒
"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
horizon,"n. 地平线, 眼界, (天)视地平"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
insist,"v. 坚持, 坚决主张, 强调"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
linguist,n. 语言学家
longevity,"n. 长命, 长寿, 寿命
"
management,"n. 经营, 支配, 管理
"
medal,"n. 奖牌, 勋章
vt. 授勋予"
medieval,"a. 中古的, 中世纪的"
meteorology,"n. 气象学, 气象状态
"
microscope,"n. 显微镜
"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
nourishment,"n. 滋养品, 养料, 营养
"
numerous,"a. 很多的, 数目众多的, 多数的
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
plumage,n. 鸟类羽毛
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
presidency,"n. 总统职权, 总裁职位"
productivity,"n. 生产力
"
proponent,"n. 建议者, 支持者
"
protein,"n. 蛋白质
a. 蛋白质的"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
salamander,"n. 火蜥蜴, 火怪, 耐火的人
"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
senate,"n. 参议院, 立法机构, 评议会"
session,"n. 期间, 开庭期, 会议, 学期
"
shortage,"n. 不足, 缺乏
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
status,"n. 状态, 情形, 地位, 要人身份
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
subway,"n. 地铁, 地道
vi. 乘地铁"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
terminus,"n. 终点, 界标, 终点站
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
thereby,adv. 因此
topsoil,"n. 上层土, 表层土"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
unpredictable,a. 不可预知的
abort,"vi. 流产, 中途失败
vt. 使流产, 使失败, 使中止"
acidic,"a. 成酸的, 尖刻的, 酸性的
"
adequate,"a. 适当的, 足够的
"
adorn,"vt. 装饰, 使生色"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
atomic,"a. 原子的, 原子能的
"
bacteria,"pl. 细菌
"
breathing,"n. 呼吸, 瞬间, 微风
a. 呼吸的, 逼真的"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
bulb,"n. 球茎, 电灯泡
"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
debris,"n. 碎片, 残骸
"
destined,"a. 预定的, 注定的, 命定的"
distribute,"vt. 分配, 散布, 分发
"
dolphin,n. 海豚
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
elementary,"a. 初步的, 基本的
"
engraving,"n. 雕刻, 镌版术, 雕版"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
expansion,"n. 扩充, 开展, 膨胀
"
exposure,"n. 暴露, 揭发, 揭露
"
farce,"n. 闹剧, 滑稽剧, 胡闹"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
gender,"n. 性
vt. 产生"
genius,"n. 天才, 天赋, 精神, 神魔
"
gospel,"n. 福音, 信仰, 真理"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
inconvenient,"a. 不便的, 有困难的"
infrared,"a. 红外线的
n. 红外线"
invasion,"n. 侵犯, 侵入, 侵害
"
junction,"n. 连接, 会合处, 交叉点
"
laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
literary,"a. 文学的, 文艺的, 精通文学的
"
