intellect,"n. 智力, 出众的才华, 知识分子
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
paycheck,"n. 付薪水的支票, 薪水"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
actually,"adv. 事实上, 竟然, 如今, 现在"
anymore,"adv. 再也不, 不再"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
collective,"a. 集体的, 聚集的, 共同的
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
difficult,a. 困难的
doctrine,"n. 教条, 学说
"
embarrassing,"a. 令人为难的, 麻烦的"
erupt,"vi. 爆发
vt. 喷出"
formally,"adv. 正式地, 形式上"
grassroots,a. 草根的；基层的；乡村的
homebuyer,n. 购房者
indication,"n. 指示, 象征, 暗示
"
instructor,"n. 教员, 讲师
"
involuntary,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的
"
legacy,"n. 祖先传下来之物, 遗赠物
"
mandatory,"a. 命令的, 托管的
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
orbiter,"n. 轨道飞行器, 人造卫星"
paradise,"n. 天堂, 乐园, 伊甸园"
polarize,"v. (使)偏振, (使)极化, (使)两极分化"
reasonableness,[计] 合理性
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
rustle,"n. 沙沙声, 瑟瑟声, 飒飒声, 急忙
vi. 发出沙沙声
vt. 使飒飒作响"
solvable,"a. 可以解的, 可以解决的
"
streaming,[电] 流
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
timely,"a. 及时的, 适时的
adv. 及时地"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
unresponsive,"a. 反应迟钝的, 感受性迟钝的, 不回答的"
voter,"n. 选民, 投票人
"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
degrade,"v. (使)降级, (使)退化"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
noteworthy,"a. 值得注目的, 显著的"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
self-conscious,"adj. 自觉的；怕难为情的；害羞的
"
unpleasant,"a. 使人不愉快的, 使人厌恶的, 煞风景的"
degree,"n. 程度, 度数, 学位, 度
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
income,"n. 收入, 收益, 流入
"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
"
redefine,"vt. 重新定义
"
thorough,"a. 十分的, 彻底的"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
biomass,"n. 生物量
"
constrain,"vt. 强迫, 限制, 关押"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
lifestyle,n. 生活方式
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
semen,"n. 精液, 精子
"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
unpretentious,"a. 不铺张的, 不炫耀的, 不装模作样的, 不招摇的, 谦逊的, 质朴的"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
hither,"a. 这边的, 在这边的
adv. 向这边, 向此处"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
thoughtless,"a. 欠考虑的, 无深虑的, 轻率的"
unique,"a. 独一无二的, 独特的, 稀罕的"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
re-evaluate,"v. 重新考虑；再评价；再评估
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
unsustainable,"a. 无法支撑的, 不能忍受的, 不可证实的
"
birth,"n. 出生, 起源
"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
delicious,a. 美味的
enjoy,"vt. 享受, 喜欢, 欣赏
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
homogeneous,"a. 同种的, 同质的, 齐性的
"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
incur,"vt. 招致, 蒙受, 遭遇
"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
overburden,"vt. 装载过多, 负担过多, 使过劳
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
unjust,"a. 不公平的
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
additional,"a. 附加的, 另外的, 额外的
"
banker,"n. 银行家, 庄家
"
cautiousness,n. 谨慎；小心
college,"n. 学院, 大学, 学会"
curriculum,"n. 课程
"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
embodiment,"n. 具体化, 化身"
especially,"adv. 尤其, 特别, 格外"
favoritism,"n. 偏爱, 偏袒"
favouritism,"n. 偏爱, 徇私, 宠信, 得宠, 偏袒"
forthcoming,"a. 即将来临的
n. 来临"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
involvement,"n. 卷入, 牵连, 包含, 困窘
"
legally,"adv. 法律上, 合法地
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
parliament,"n. 国会, 议会
"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
programming,"n. 节目的计划, 编制程序
"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
time-wasting,"a. 浪费时间的
n. 浪费时间, 蹉跎岁月"
ultra-thin, 超薄型
unsettled,"a. 不整齐的, 未处理的, 未决定的
"
wallet,"n. 皮夹
"
wildfire,"n. (古时战争时所用的)燃料剂, 磷火, 鬼火, 野火"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
indeed,"adv. 的确, 实在, 真正地, 甚至"
likewise,"adv. 同样地, 也"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染
n. 超载, 装药过多, 过度充电"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
consequence,"n. 结果, 重要性
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
enormous,"a. 巨大的, 庞大的"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
horizon,"n. 地平线, 眼界, (天)视地平"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
unknown,"a. 不知道的, 未知的, 陌生的
n. 未知物, 未知数"
blaspheme,v. 亵渎
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
enrage,"vt. 激怒, 使暴怒"
fine-grained, [医]细粒的
graveyard,n. 墓地
Hormone,"n. 荷尔蒙
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
overdressed,v. （使）穿得太讲究( overdress的过去式和过去分词 )
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
blog,n. 博客；部落格；网络日志
demographics,n. 人口统计资料
enrich,"vt. 使富足, 使肥沃"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
regal,"a. 帝王的, 适于帝王的"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
horrify,"vt. 使恐惧, 使震惊"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
overfish,vt. 对(鱼)进行过度捕捞
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
sermon,"n. 说教, 启示, 布道"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
unmistakable,"a. 不会弄错的, 不会被误解的, 不会搞错的, 明白无误的, 清楚明白的"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
linguist,n. 语言学家
miniskirt,n. 超短裙
overfund,[网络] 对…提供充足资金；过度融资
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
unnecessary,a. 不必要的
dentist,"n. 牙科医生
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
fireplace,n. 壁炉
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
tiny,"a. 很少的, 微小的"
unrealistic,"a. 不切实际的, 幻想的"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
adherence,"n. 依附, 固执, 坚持
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
baseless,a. 无根据的
boundary,"n. 边界, 分界线
"
cease,"n. 停止
v. 停止, 终了"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
data,"pl. 资料, 数据
"
diplomacy,"n. 外交, 外交手腕, 交际手段
"
embody,"vt. 具体表达, 使具体化
"
fortnightly,"a. 每两星期一次的, 隔周发行的
n. 双周刊
adv. 隔周, 每两星期一次地"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
hopefully,"adv. 有希望地, 如果希望能实现的话"
inefficiency,"n. 无效率, 无能
"
insure,"vt. 保险, 确保
vi. 投保"
marginalized,"使边缘化
忽略
排斥(marginalize的过去式和过去分词)"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
outdated,"a. 旧式的, 落伍的, 过时的"
partly,"adv. 部分地, 在一定程度上"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
recent,"a. 最近的, 近代的, 最新的
"
sadly,"adv. 悲痛地, 悲惨地, 悲伤地, 说来遗憾"
shedder,"n. 流血者, 脱毛动物, 脱壳期的蟹"
strikingly,"adv. 显著地, 惊人地, 引人注目地"
tint,"n. 色彩, 浅色
vt. 染色于"
unanimous,"a. 意见一致的, 无异议的"
unstoppable,"a. 无法停止的, 不可阻碍的"
warning,"n. 警告, 预告, 预兆, 通知
"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
deny,"v. 否认, 拒绝"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
setback,"n. 挫折, 退步, 逆流"
workforce,"n. 劳动力；工人总数, 职工总数"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
miracle,"n. 奇迹, 奇事"
overrate,"vt. 评价过高, 高估, 估价过高
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
unreflecting,"a. 缺乏考虑的, 无思想的, 不反射的"
workplace,"n. 工作场所, 工厂, 车间"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
enthusiasm,"n. 巨大的热情, 热心"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
misconception,n. 误解
unreliable,"a. 不可靠的
"
workstation,"n. 工作站
"
agenda,"pl. 议程, 日常工作事项
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
depend,"vi. 靠, 视...而定, 信赖"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
groundless,"a. 无根据的, 无理由的
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
oversize,"a. 太大的, 超大型的
n. 特大型"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
untested,"a. 未经试验的, 未经考验的"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
depict,"vt. 描述, 描写"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
misguided,a. 被误导的
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
booth,"n. 亭, 摊棚
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
misinformation,"n. 错误的消息, 误传
"
overstep,"vt. 踏过, 逾越, 超出...的限度
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
aghast,"a. 惊骇的, 吓呆的"
envisage,"vt. 面对, 正视, 想象"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
inescapably,adv. 逃不掉地
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
over-the-counter, （买药）不用处方
discriminate,"v. 区别, 差别待遇"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
upholstered,a. 装上软垫的；经过布置的
adornment,"n. 装饰, 装饰品"
Apps,"n. 应用程序, 应用软件；应用服务"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
breakthrough,"n. 突破
"
conveyor,"n. 搬运者, 传达者, 转让财产者, 输送机, 输送设备
"
dean,"n. 院长, 主持牧师
"
disassemble,"vt. 解开, 拆开"
dormant,"a. 睡眠状态的, 静止的
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
guardianship,"n. 监护, 保护, 守护
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
inexperienced,"a. 无经验的, 不熟练的"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
outgrow,"vt. 过大而不适于, 长得比...高(或大、快), 成长得不再具有..."
passenger,"n. 乘客, 旅客
"
pollutant,"n. 污染物质
"
recently,adv. 最近
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
south-western,"adj. 西南的；西南方向的
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
win-win, [电影]双赢
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
flavor,"n. 滋味, 调味品
vt. 加味于"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
laboratory,"n. 实验室, 研究室, 化工厂
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
mislead,vt. 误导
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
born,"a. 天生的
bear的过去分词"
deride,"vt. 嘲弄, 嘲笑"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
guesswork,"n. 臆测, 猜测, 凭猜测所作之工作"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
misplace,vt. 放错地方
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
