identical,"a. 同一的, 恒等的, 完全相同的
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
ruckus,"n. 喧闹, 骚动"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
sling,"n. 投石器, 抛掷, 吊索, 吊钩
vt. 用投石器投掷, 用吊钩吊上, 吊起"
dwell,"vi. 居住, 居住(于), 存在(于)"
martyr,"n. 烈士, 受苦者, 受难者
vt. 使成为烈士, 使受苦"
differ,"vi. 不一致, 不同
"
differentiate,"v. 区别, 区分"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
confer,"vt. 授予, 带来
vi. 协商"
conference,"n. 会议
"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
infer,"vt. 推论出, 推断
vi. 作推论"
inference,"n. 推论
"
prefer,"vt. 宁可, 较喜欢, 提出
"
preferable,"a. 更可取的, 更好的, 更合意的"
preference,"n. 偏爱, 优先, 喜爱物
"
preferential,"a. 优先的, (关税等)优惠的
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
referendum,n. （就重大政治或社会问题进行的）全民公决，全民投票
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
sufferable,"a. 可容忍的, 可忍耐的"
sufferance,"n. 容许, 默认, 默许
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transference,"n. 转移, 调动, 转让
"
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
periphery,"n. 外围, 边缘地区, 圆周
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
breakdown,"n. 崩溃, 故障
"
breakthrough,"n. 突破
"
outbreak,"n. 爆发, 暴动
"
backbreaking,a. 非常辛劳的
handbrake,n. 手煞车
broke,"a. 一文不名的
break的过去式"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
bank,"n. 银行, 堤, 岸
"
embankment,"n. 堤防, 筑堤"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
bankruptcy,"n. 破产者
"
compete,"vi. 竞争, 对抗"
competition,"n. 竞争, 竞赛
"
competitive,"a. 竞争的
"
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
impetus,"n. 动力, 推动力, 动量
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
perpetuate,"vt. 使永存, 使不朽, 保持"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
factual,"a. 事实的, 实际的
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
faction,"n. 小派系, 内讧
"
factitious,"a. 人为的, 人工的, 不自然的
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affectionate,"a. 深情的, 充满情爱的"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
effectual,"a. 有效果的, 会应验的, 有法律效力的"
ineffective,"a. 无效的
"
ineffectual,"a. 无效的, 无益的"
confection,"n. 糖果, 蜜饯
"
defect,"n. 缺点
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
perfection,"n. 完美, 完成, 极端
"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
infect,"vt. 传染, 感染
"
infection,"n. 传染, 影响, 传染病
"
infectious,"a. 有传染性的, 易传染的
"
disinfect,"vt. 消毒
"
disinfectant,"a. 消毒的, 杀菌的
n. 消毒剂, 杀菌剂"
fag,"n. 吃力的工作, 苦工
vi. 努力地工作
vt. 使劳累"
decade,"n. 十年, 十"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
decimate,"vt. 每十人杀一人, 大批杀害"
dean,"n. 院长, 主持牧师
"
distinguish,"v. 区别, 辨别"
distinction,n. 区别
distinct,"a. 清楚的, 显著的, 不同的"
distinctive,"a. 有特色的, 出众的"
distinguishable,"a. 区别得出的, 辩认得出的, 可辨别的"
indistinguishable,"a. 不能辨别的, 不能区别的"
distinguished,"a. 卓著的, 著名的"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
extinguisher,"n. 熄灭者, 灭火器, 消灭者
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extinction,"n. 消失, 消灭, 废止
"
instinct,"n. 本能, 直觉
a. 充满着的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
dynamism,"n. 物力论, 力本说
"
dynamite,"n. 炸药
vt. 炸毁, 破坏"
dynamo,"n. 发电机
"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
horrify,"vt. 使恐惧, 使震惊"
horror,"n. 惊骇, 恐怖, 惨状
"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
terrify,"vt. 使恐惧, 恐吓"
terror,"n. 恐怖, 可怕的人
"
terrorist,"n. 恐怖分子
"
deter,"vt. 制止, 吓住, 威慑"
deterrent,"a. 制止的, 威慑的, 遏制的
n. 威慑力量(或因素), 制止物"
terrific,"a. 非常好的, 极端的, 可怕的"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
imaginable,"a. 可想像的, 可能的"
imaginary,"a. 想像的, 虚构的, 假想的"
imaginative,"a. 想像的, 虚构的"
imagination,"n. 想像, 听觉, 想像力
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
imagery,"n. 肖像, 比喻, 雕刻
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
inimitable,"a. 无法仿效的, 独特的, 无比的"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
weld,"n. 焊接处, 焊接
vt. 焊接, 使密接, 使结合, 使成整体
vi. 焊牢"
plume,"n. 羽毛, 羽毛装饰, 羽状的
vt. 用羽毛装饰, 整理羽毛, 使成羽毛状"
smudge,"n. 污点, 脏污, 熏烟
vt. 弄脏, 使模糊, 用浓烟熏
vi. 被弄脏"
shrimp,"n. 虾, 小虾, 矮子
vi. 捕小虾"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
satin,"n. 缎子
a. 绸缎做的, 缎子一般的, 光滑的"
turf,"n. 草皮, 泥炭, 跑马场
vt. 覆草皮于"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
ammonia,"n. 氨水, 阿摩尼亚
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
grenade,n. 手榴弹
sake,"n. 目的, 缘故, 理由"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
throng,"n. 群, 人群, 群集, 众多
a. 拥挤的
vi. 群集, 蜂拥
vt. 在...群集, 使拥塞"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
discrepancy,"n. 不符合, 差异, 不相符之处
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
brag,"n. 吹牛
v. 吹牛"
clout,"n. 敲击, 破布
vt. 打补钉"
eternal,"a. 永恒的, 永远的, 不灭的"
vendor,"n. 小贩, 卖主, 自动售货机
"
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
labyrinth,"n. 迷宫, 难解事物, 迷路
"
sturdy,"a. 强健的, 健全的
"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
attic,"n. 阁楼, 顶楼
"
crag,"n. 峭壁, 危岩
"
cemetery,"n. 墓地, 公墓
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
grime,"n. 尘垢, 煤尘, 污点
vt. 使污秽, 使...弄脏"
bland,"a. 温和的, 乏味的, 冷漠的
"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
souvenir,n. 纪念品
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
aisle,"n. 走廊, 侧廊, 过道
"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
debut,"n. 初次登台, 开张
v. 初次登台"
tally,"n. 符木, 记账, 得分, 比分, 计数器, 标签, 符合, 对应物
vt. 记录, 点数, 计算, 加标签于, 使符合
vi. 记帐, 符合, 吻合, 记分
"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
plunder,"n. 抢夺, 掠夺品, 战利品
v. 掠夺, 抢劫, 抢夺"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensibility,"n. 感性, 感觉, 情感
"
insensibility,"n. 无感觉, 不在乎, 不关心
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
sensitivity,"n. 敏感, 灵敏度
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
sensation,"n. 感觉, 轰动
"
sensational,"a. 使人感动的, 非常好的"
sensor,"n. 传感器
"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
sensuous,"a. 感觉上的, 使感官以快感的, 敏感的"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
sentimental,"a. 感伤的, 感情用事的"
sentinel,"n. 哨兵, 标记
vt. 警戒, 守卫
"
sentry,"n. 哨兵, 看守
vt. 设岗哨
vi. 站岗, 放哨"
assent,"n. 赞成
vi. 同意"
consensus,"n. 合意, 一致, 同感
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
dissent,"n. 异议
vi. 持异议, 不同意"
dissension,"n. 意见不合, 纠纷, 争吵
"
resent,"vt. 愤恨, 憎恶, 怨恨"
resentful,"a. 岔恨的, 易怨恨的, 不满的, 显然不满的"
resentment,"n. 怨恨, 愤恨"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
liability,"n. 责任, 债务, 倾向
"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
obligatory,"a. 义务的, 必须的, 强制性的
"
religion,"n. 宗教, 信仰
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adherence,"n. 依附, 固执, 坚持
"
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
cohesive,"a. 黏合在一起的
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
incoherent,"a. 不连贯的, 语无伦次的
"
heir,"n. 继承人, 嗣子, 后嗣
"
heiress,"n. 嗣女, 女继承人
"
heirloom,"n. 传家宝, 动产继承物
"
heredity,"n. 遗传, 形质遗传
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
inheritance,"n. 遗传, 遗产
"
inherent,"a. 固有的, 与生俱来的
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
militarism,"n. 军国主义, 尚武精神, 好战精神"
paramilitary,a. 辅助军事的
militia,"n. 义勇军, 民兵组织, 国民军"
militiaman,"n. 国民兵, 民兵"
militant,a. 好战的
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
measurement,"n. 尺寸, 度量, 度量单位
"
commensurate,"a. 同量的, 同等的, 相称的"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
dimensional,"a. ...维的
"
immense,"a. 极广大的, 无边的, 非常好的"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
mini,"n. 同类中的极小者, 微型汽车, 超短裙
a. 微型的"
diminish,"v. (使)减少, (使)变小"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
majority,"n. 多数, 大半
"
minimum,"a. 最小的, 最低的
n. 最小值
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
maxim,"n. 格言, 座右铭
"
mayor,"n. 市长
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
compassion,"n. 同情, 怜悯"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composer,"n. 作曲家, 作家, 调停者"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
composition,"n. 作文, 创作, 组成
"
composure,"n. 镇静, 沉着"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
deposition,"n. 免职, 作证, 沉淀
"
depository,"n. 仓库, 贮藏所, 受托者
"
depot,"n. 停车场, 车站, 贮藏所, 仓库
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
disposable,"a. 可任意处理的
"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
disposition,"n. 性情, 处置, 处理, 布置
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exposure,"n. 暴露, 揭发, 揭露
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
imposing,"a. 令人难忘的, 壮丽的, 威风的"
imposition,"n. 征收, 课税, 强加, 欺骗
"
impostor,"n. 冒名顶替者, 骗子, 冒牌"
juxtapose,"vt. 并置, 并列
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
proposal,"n. 提议, 计划, 求婚
"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
displace,"vt. 移置, 替换, 转移"
displacement,"n. 换置, 移位, 移动, 取代
"
replace,"vt. 代替, 替换, 放回, 归还
"
replacement,"n. 归还, 更换, 代替者
"
misplace,vt. 放错地方
watt,"n. 瓦(特)
"
deteriorate,v. (使)恶化
pagoda,n. 宝塔
steeple,"n. 尖顶, (教堂的)尖塔, 锥形体"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
aviation,"n. 航空, 航空学, 飞行术
"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
twig,"n. 小枝, 细枝
v. 懂得, 了解"
shrill,"n. 尖声
a. 尖锐的, 刺耳的
vt. 尖声说出
vi. 发出刺耳声"
trickle,"n. 滴, 细流
vi. 滴, 细细地流
vt. 使滴, 使小量流动
"
gulp,"vt. 吞, 大口大口地吸气, 吸收, 抑制
vi. 吞咽
n. 吞咽
"
brink,"n. 边缘, 陡岸"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
grumble,"n. 怨言, 满腹牢骚
vi. 抱怨, 发牢骚, 发隆隆声
vt. 抱怨"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
granite,"n. 花岗岩
"
coral,"n. 珊瑚, 珊瑚色
"
wreath,"n. 花圈, 花环, 圈状物
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
amenity,"n. 便利设施, 适意, 礼仪
"
ardent,"a. 热心的, 激动的, 燃烧般的
"
asylum,"n. 庇护, 收容所
"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
bizarre,a. 奇异的
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
carp,"n. 鲤鱼
vi. 吹毛求疵, 挑剔"
caste,"n. 印度的种姓制度, (排他的)社会团体"
cerebral,"a. 脑的, 大脑的
"
trump,"n. 王牌, 法宝, 喇叭
vt. 打出王牌赢, 胜过
vi. 出王牌, 吹喇叭"
rickshaw,"n. 人力车, 黄包车"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
mellow,"a. 成熟的, 醇的, 熟练的"
pedantic,"a. 卖弄学问的, 学究式的, 假装学者的"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
priceless,"a. 无价的, 极贵重的"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appreciation,"n. 感激, 赏识, 鉴别
"
appreciative,"a. 有欣赏力的, 感激的"
appreciable,"a. 可感知的, 可评估的"
depreciate,"vi. 贬值
vt. 降价, 贬低"
depreciation,"n. 价值减低, 减价, 跌落, 贬低, 折旧
"
tribute,"n. 贡物, 礼物, 颂辞"
tributary,"a. 支流的, 纳贡的, 从属的, 辅助的
n. 支流, 纳贡者, 属国"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contribution,"n. 捐助, 捐助之物, 贡献
"
contributor,"n. 贡献者, 捐助者, 赠送者, 投稿者
"
distribute,"vt. 分配, 散布, 分发
"
distribution,"n. 分配
"
redistribute,"vt. 重新分配, 再分发
"
retribution,"n. 报应, 惩罚, 报酬
"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
scarce,"a. 难得的, 稀罕的, 缺乏的"
rarely,"adv. 很少地, 罕有地"
scarcely,"adv. 简直不, 一定不, 仅仅"
rarity,"n. 稀罕, 罕有, 珍奇, 稀薄"
scarcity,"n. 缺乏, 不足, 缺少
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
recognizable,"a. 可认识的, 可承认的, 可识别的
"
agnostic,n. 不可知论者
cognitive,"a. 认知的, 认识的"
diagnose,v. 诊断
diagnosis,"n. 诊断
"
diagnostic,"a. 诊断的, 有助于诊断的, 特征的
n. 诊断, 病的征候, 诊断法
"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
