fourteenth,"num. 第十四, 十四分之一"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
insist,"v. 坚持, 坚决主张, 强调"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
opinion,"n. 意见, 评价, 主张
"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
nineteen,"num. 十九, 十九个"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
do,"v. 做, 进行, 完成"
watermelon,n. 西瓜
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
protect,"vt. 防卫, 保护, 警戒
"
build,"v. 建立, 建筑
n. 构造, 体格"
grandchild,"n. 孙, 外孙女, 外孙, 孙女, 孙子"
birth,"n. 出生, 起源
"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
twentieth,"num. 第二十, 二十分之一"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
thirsty,"a. 口渴的, 渴望的, 干燥的"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
Mars,[网络] 马尔斯
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
during,prep. 在...的时候
costume,"n. 装束, 服装"
unimportant,a. 不重要的
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
hall,"n. 门厅, 走廊, 会堂"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
legend,"n. 传说, 传奇文学, 图例
"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
confident,"a. 有信心的, 有把握的"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
till,"prep. 直到, 在...以前, 迄
conj. 直到...为止
vt. 耕种
n. 放钱的抽屉, 备用现金, 冰碛"
consider,"v. 考虑, 思考, 认为"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
homeland,"n. 本国, 故国"
myself,"pron. 我自己, 我亲自, 我独自"
passenger,"n. 乘客, 旅客
"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
situation,"n. 情形, 境遇, 位置
"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
baseball,"n. 棒球
"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
become,"vi. 变成, 变得
vt. 适合"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
mountain,"n. 山, 山脉, 大堆"
black,"n. 黑色, 黑颜料
a. 黑色的"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
often,"adv. 时常, 常常"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
kangaroo,"n. 袋鼠
"
food,"n. 食物, 养料
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
girl,"n. 女孩, 少女, 女佣"
worst,"n. 最坏, 最坏的时候
a. 最坏的, 最恶劣的, 最不利的
adv. 最坏, 最糟"
someone,"pron. 有人, 某人"
opportunity,"n. 机会, 时机"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
railway,"n. 铁路, 轨道
"
headache,"n. 头痛, 令人头痛之事
"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
chopsticks,n. 筷子
we,pron. 我们
six,"num. 六, 六个"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
hers,pron. 她的
with,"prep. 和...在一起, 以, 由于"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
are,be的现在时复数或第二人称单数
discussion,n. 讨论
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
ninety,"num. 九十, 九十个"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
postman,"n. 邮递员
"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
Paris,"n. 巴黎
"
sauce,"n. 酱油, 调味汁, 酱
vt. 给...调味, 使增加趣味"
deaf,"a. 聋的
"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
sir,"n. 先生, 阁下"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
those,pron. 那些
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
calculator,"n. 计算者, 计算器
"
baby,"n. 婴孩
"
October,n. 十月
zebra,n. 斑马
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
forty,"num. 四十, 四十个"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
computer,"n. 电脑, 电子计算机
"
criticize,"v. 批评, 吹毛求疵, 非难"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
together,"adv. 一起, 共同, 彼此"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
decide,"v. 决定, 判决"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
yours,"pron. 你的(东西), 你们的(东西)"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
lot,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
exhibition,"n. 表现, 展览会, 展览品
"
awful,"a. 可怕的, 庄严的, 虔敬的"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
require,"vt. 需要, 命令, 要求
"
unless,"conj. 除非
prep. 除...之外"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
Australia,"n. 澳洲, 澳大利亚"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
student,"n. 学生, 研究者, 学者"
popularity,"n. 名声, 受大众欢迎, 流行"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
beach,n. 海滩
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
believe,v. 相信
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
chore,"n. 零工, 家务
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
hair,"n. 头发, 毛发, 些微
"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
wheat,n. 小麦
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
lookout,"n. 注意, 前途, 了望台, 景色
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
singular,"n. 单数
a. 异常的, 单一的"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
tiny,"a. 很少的, 微小的"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
misleading,"a. 引入歧途的, 使人误解的, 骗人的
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
sorry,"a. 难过的, 悲哀的, 遗憾的"
be,"v. 是, 表示, 在
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
later,"adv. 以后, 随后"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
therefore,"adv. 因此, 所以"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
forbid,"vt. 禁止, 不准, 妨碍
"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
delicious,a. 美味的
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
bored,a. 无聊的；烦人的；无趣的
along,"adv. 平行地, 向前
prep. 沿着"
might,"n. 力量, 权力
aux. 可能, 也许"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
August,"n. 八月
a. 威严的, 令人敬畏的"
eighteenth,"num. 第十八, 十八分之一"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
February,n. 二月
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
useful,"a. 有用的, 有益的
"
Japan,"n. 日本
"
April,n. 四月
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
describe,"vt. 描述, 描绘, 画"
sad,"a. 忧愁的, 悲哀的"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
competition,"n. 竞争, 竞赛
"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
car,"n. 汽车, 客车
"
operate,"v. 操作, 运转, 动手术, 活动"
eleventh,"num. 第十一, 十一分之一"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
cheese,"n. 乳酪
"
terrorist,"n. 恐怖分子
"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
bookcase,"n. 书架, 书柜"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
loving,"a. 亲爱的, 钟情的, 忠诚的"
housework,"n. 家事, 家务"
elevator,"n. 电梯, 升降机
"
born,"a. 天生的
bear的过去分词"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
fax,"n. 传真
vt. 发传真
"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
fifteen,"num. 十五, 十五个"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
between,prep. 在...之间
mysterious,"a. 神秘的, 难解的, 不可思议的"
cookie,"n. 饼干, 小甜点
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
friend,"n. 朋友, 支持者, 赞助者
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
twelfth,"num. 第十二, 十二分之一"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
dictionary,"n. 字典, 词典
"
meeting,"n. 会议, 会面
"
waiter,n. 侍者
your,"pron. 你的, 你们的"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
appear,"vi. 出现, 显得, 来到
"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
salad,n. 色拉
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
passport,"n. 护照, 手段, 通行证
"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
science,"n. 科学, 学科, 学问, 自然科学
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
gun,"n. 枪
"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
farmer,"n. 农夫, 农场主
"
disadvantage,"n. 缺点, 不利, 坏处"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
hero,"n. 英雄, 超越常人者, 男主角"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
nineteenth,"num. 第十九, 十九分之一"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
and,"conj. 和, 与
"
treatment,"n. 治疗, 待遇, 处理
"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
nor,"conj. 也不, 也没有
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
which,"pron. 哪一个, 那一个"
background,"n. 背景, 背景资料
"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
physics,"n. 物理学, 物理过程, 物理现象
"
airplane,"n. 飞机
"
lab,"n. 实验室, 研究室
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
eighteen,"num. 十八, 十八个"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
India,n. 印度
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
cupboard,"n. 食橱, 碗柜, 餐具柜"
telephone,"n. 电话, 电话机
v. 打电话"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
electric,"a. 电的, 导电的, 电动的
"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
both,"a. 两者的
adv. 两者都
pron. 两者"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
appointment,"n. 约会, 委任的职位, 委派
"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
begin,"v. 开始
"
Tuesday,n. 星期二
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
England,[网络] 英国
whether,"conj. 是否, 不论
pron. 两个中的哪一个"
tennis,n. 网球
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
Brazilian,"n. 巴西人
a. 巴西的, 巴西人的"
height,"n. 高度, 海拔, 高地, 顶点
"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
symphony,"n. 交响乐, 交响曲"
century,"n. 世纪, 百年"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
difficult,a. 困难的
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
