feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
daughter,"n. 女儿
a. 女儿的"
day,"n. 天, 日子, 白天, 工作日
"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
dear,"n. 亲爱的人
a. 亲爱的, 昂贵的, 严重的, 急迫的
interj. 啊
adv. 深爱地, 高价地"
December,n. 十二月
desk,"n. 书桌, 办公桌, 工作台"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
different,"a. 不同的
"
difficult,a. 困难的
do,"v. 做, 进行, 完成"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
door,n. 门
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
earlier,a. 早的；初期的
early,"a. 早的, 早熟的
adv. 很早, 初"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
eat,"v. 吃, 腐蚀"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
eight,"num. 八, 八个"
eighteenth,"num. 第十八, 十八分之一"
eighth,"num. 第八, 八分之一"
elephant,n. 象
eleven,"num. 十一, 十一个"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
e-mail, 电子函政
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
England,[网络] 英国
English,[网络] 英语
Englishman,n. 英国人
eraser,n. 擦子
evening,"n. 傍晚, 晚间, 末期"
every,"a. 每一, 所有的"
everybody,"pron. 每个人, 人人"
everyone,"pron. 每个人, 人人
"
everything,"pron. 每件事物, 所有事物"
everywhere,"adv. 各处, 到处"
exam,"n. 考试, 测验"
example,"n. 例子, 样本, 实例
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
explorer,"n. 探险家, 探测者, 勘探器
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
factory,"n. 工厂, 产生地, 代理店
"
family,"n. 家庭, 家人, 族
a. 家庭的"
famous,"a. 出名的, 极好的"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
farmer,"n. 农夫, 农场主
"
farming,"n. 农业, 耕作"
farmland,n. 农田
farther,"a. 更远的, 进一步的
adv. 更远的, 此外, far的比较级"
farthest,"a. 最远的, 最久的
adv. 最远, far的最高级"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
February,n. 二月
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
few,"a. 很少的, 不多的, 少数的
n. 少数"
fifteen,"num. 十五, 十五个"
fifth,"num. 第五, 五分之一"
fifty,"num. 五十, 五十个"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
fishing,"n. 钓鱼, 鱼业
a. 钓鱼的"
five,"num. 五, 五个"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
food,"n. 食物, 养料
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
football,"n. 足球, 橄榄球"
for,"prep. 为, 因为, 至于
conj. 因为
"
foreigner,"n. 外国人, 外地人
"
forest,"n. 森林, 林区
vt. 植树于"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
four,"num. 四, 四个
"
fourteen,"num. 十四, 十四个"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
France,n. 法国
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
Frenchman,n. 法国人
Friday,n. 星期五
friend,"n. 朋友, 支持者, 赞助者
"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
from,"prep. 从, 来自, 根据"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
fruit,"n. 水果, 果类, 结果
"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
gate,"n. 门, 牌楼, 大门, 通道, 闸
vt. 装门于
"
German,"n. 德国人, 德语
a. 德国的, 德国人的, 德国语的, 同父母的"
Germany,n. 德国
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
girl,"n. 女孩, 少女, 女佣"
glad,"a. 高兴的, 喜欢的, 情愿的"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
goodbye,interj. 再见
grandfather,"n. 祖父, 始祖
"
grandma,"n. 奶奶, 外婆"
grandmother,"n. 祖母, 女祖先"
grandpa,"爷爷, 老太爷, 外公"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
hair,"n. 头发, 毛发, 些微
"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
half-way,"中途,半路上"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
happily,"adv. 幸福地, 快乐地, 幸好"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
hard-working,辛勤工作的
hat,"n. 帽子
vt. 给...戴帽子"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
healthily,adv. 健康地
healthy,"a. 健康的, 有益健康的, 卫生的
"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
heavily,"adv. 很重地, 严重地, 难以忍受地"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
her,"pron. 她的, 她"
here,"adv. 在这里, 此时, 这里
n. 这里"
hers,pron. 她的
herself,"pron. 她自己, 她亲自"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
him,pron. 他
himself,"pron. 他自己, 他亲自"
his,"pron. 他的
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
holiday,"n. 假日, 假期, 节日
vi. 度假"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
hometown,"n. 故乡, 家乡"
homework,"n. 家庭作业, 家里做的工作
"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
hospital,"n. 医院
"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
hotel,"n. 旅馆, 客栈"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
housework,"n. 家事, 家务"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
India,n. 印度
Indian,"n. 印度人, 印第安人, 印第安语
a. 印度的, 印度群岛的, 印第安语的"
instead,"adv. 作为替代, 反而"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
interested,"a. 感兴趣的
"
interesting,a. 有趣的
Internet,[网络] 互联网；因特网；网际网路
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
it,"pron. 它
"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
Italy,n. 意大利
its,pron. 它的
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
January,n. 一月
Japan,"n. 日本
"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
jeep,"n. 吉普车
vi. 乘吉普车
vt. 用吉普车运"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
July,n. 七月
jumper,"n. 跳跃者, 工作服
"
June,n. 六月
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
"
kilo,"n. 千
"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
kind-hearted,"adj. 仁慈的
"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
know,"v. 知道, 了解, 认识, 确信"
lab,"n. 实验室, 研究室
"
laboratory,"n. 实验室, 研究室, 化工厂
"
lady,"n. 淑女, 夫人, 女士, 贵妇"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
language,"n. 语言, 文字, 措辞
"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
later,"adv. 以后, 随后"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
lesson,"n. 课, 课业, 教训"
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
lifeboat,n. 救生艇
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
living-room,"客厅, 起居室"
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
lot,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
loudspeaker,"n. 扩音器, 喇叭
"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
luckily,"adv. 幸运地, 幸亏, 侥幸"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
lunch,n. 午餐
Macao,n. 澳门
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
madam,"n. 女士, 夫人"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
March,abbr. Master of Architecture 建筑学硕士
maybe,"adv. 也许, 大概
n. 可能性"
me,pron. 我
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
meat,"n. 肉, 餐, 食物
"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
meeting,"n. 会议, 会面
"
member,"n. 成员, 会员
"
microcomputer,"n. 微电脑, 微机
"
mid-autumn,中秋
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
minibus,"n. 中客车, 小型公共汽车"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
missing,"a. 不见的, 缺少的
"
modem,"n. 调制解调器
"
Monday,n. 星期一
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
month,"n. 月
"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
mooncake,n. 月饼
moonlight,"n. 月光
a. 有月光的, 月夜的"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
morning,"n. 早晨, 早上, 初期"
Moscow,n. 莫斯科
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
mountain,"n. 山, 山脉, 大堆"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
mouth-to-mouth,"adj. 口对口的
adv. 口对口地"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
moving,"a. 动人的, 令人感动的, 鼓动的, 原动的, [无比较级]活动的, 转动的"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
mum,"n. 菊花, 沉默
a. 沉默的
vi. 演哑剧
interj. 别说话"
mummy,"n. 木乃伊, 瘦而干瘪之人, 妈咪
"
music,"n. 音乐, 乐曲"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
my,"pron. 我的
"
myself,"pron. 我自己, 我亲自, 我独自"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
nine,"num. 九, 九个"
ninth,"num. 第九, 九分之一"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
noon,"n. 正午, 中午, 全盛期"
nor,"conj. 也不, 也没有
"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
northern,"n. 北方人
a. 北方的, 向北的, 自北方来的"
northwest,"n. 西北, 西北方
a. 西北的, 在西北的, 来自西北的
adv. 向西北"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
November,n. 十一月
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
o'clock,"n. ...点钟, 钟头"
October,n. 十月
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
Olympic,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
one-way,[电] 单向
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
onto,prep. 在...之上
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
or,"conj. 或, 或者
"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
our,pron. 我们的
ours,pron. 我们的
ourselves,pron. 我们自己
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
pair,"n. 一双, 一对, 一副
v. (使)成对"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
parent,"n. 父母, 父母亲, 根源
"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
pea,"n. 豌豆, 似豌豆的东西"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
pencil-box, 铅笔盒
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
playhouse,"n. 剧场, 儿童之家, 玩具房"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
river,"n. 河, 江
"
roller-skating, 滑旱冰
Rome,n. 罗马
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
runner,"n. 跑步者, 赛跑者, 送信人, 走私船, 操作者, 滑槽
"
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
sad,"a. 忧愁的, 悲哀的"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
Saturday,n. 星期六
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
schoolbag,n. 书包
schoolboy,n. 男学生
schoolyard,"n. 校园, 运动场"
Scotland,n. 苏格兰
sea,"n. 海, 海洋, 海浪, 大量
"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
seller,"n. 销售者
"
September,n. 九月
seven,"num. 七, 七个"
she,pron. 她
sheep,"n. 羊, 胆小者"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
shirt,"n. 衬衫, 内衣, 汗衫"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
shopping,"n. 买东西, 购物
"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
should,"aux. 应该, 将要"
shall,aux. 将
showery,a. 阵雨的
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
singer,n. 歌手
sir,"n. 先生, 阁下"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
