international,"a. 国际的
n. 国别设定
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
awkward,"a. 笨拙的, 棘手的"
cabbage,"n. 卷心菜
"
axis,"n. 轴
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
despise,vt. 轻视
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
reengineer,"vt.再设计,重新建造, 再设法处理"
district,"n. 区域, 地方
"
versus,"prep. 对...
"
dozen,"n. 打, 十二个
a. 一打的"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
fantasy,"n. 幻想, 想象的产物
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
department,"n. 部门, 系, 机关
"
departure,"n. 离开, 出发, 违背, 偏离
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
flavor,"n. 滋味, 调味品
vt. 加味于"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
insure,"vt. 保险, 确保
vi. 投保"
insurance,"n. 保险, 保险业, 保险费
"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
liability,"n. 责任, 债务, 倾向
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
congress,"n. 国会, 会议, 讨论会
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attractive,"a. 吸引人的, 有魅力的
"
distract,"vt. 转移, 分心, 使发狂"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
sophist,"n. 诡辩者, 诡辨家, 学者"
sophisticated,"a. 复杂的, 久经世故的
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
synchronize,"vt. 使同步, 使合拍
vi. 同时发生
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
fess,vt. 供认；坦白
confess,"v. 承认, 坦白, 忏悔, 供认"
professor,n. 教授
profession,"n. 职业, 表白, 声明
"
prophet,"n. 预言者, 先知, 提倡者"
prophecy,"n. 预言, 预言能力"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
barrier,"n. 障碍, 栅栏
"
ass,"n. 驴, 傻瓜, 笨蛋, 屁股
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
baggage,"n. 行李
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
pater,n. 父亲
patriot,"n. 爱国者, 爱国主义者"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
bewilder,"vt. 使迷惑, 使不知所措"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
bra,"n. 奶罩
"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
womb,"n. 子宫, 发源地
"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
drama,"n. 戏剧, 戏剧艺术"
dramatic,"a. 戏剧性的, 生动的"
elude,"vt. 逃避, 规避, 把...难倒"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
durable,"a. 持久的, 耐用的"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
entrepreneur,"n. 企业家, 主办人
"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
boat,"n. 船
vi. 乘船
vt. 以船运"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluctuation,"n. 变动, 波动, 动摇
"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
gloominess,"n. 黑暗, 沮丧"
grin,"n. 露齿笑
v. 露齿而笑"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
hare,"n. 野兔
vi. 飞跑"
ass,"n. 驴, 傻瓜, 笨蛋, 屁股
"
harassment,"n. 困扰, 烦扰, 烦恼
"
hijack,"vt. 抢劫, 劫持, 敲诈
"
jackpot,"n. 最大赌注, (彩票的)头奖, 最大成功, 意外的成功/奖赏, 困境"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hostility,"n. 敌意, 敌对, 反对"
hospitality,"n. 款待, 亲切, 殷勤"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
dick,"n. 家伙, 词典, 誓言(书)
"
appendix,"n. 附录, 附加物, 阑尾
"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
legal,"a. 法律的, 法定的, 合法的
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legitimacy,"n. 合法, 正统, 正当
"
camel,"n. 骆驼, 打捞浮筒"
mammal,"n. 哺乳动物
"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
psychology,"n. 心理学, 心理状态
"
physiology,"n. 生理学, 生理机能
"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
quirk,"n. 古怪举动, 俏皮话, 急转"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
refugee,"n. 难民, 流亡者
"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
vigor,"n. 精力, 活力"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
tedious,"a. 沉闷的, 冗长乏味的"
tedium,"n. 单调乏味, 沉闷"
vase,"n. 花瓶, 瓶"
vessel,"n. 船, 容器, 脉管
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
viable,"a. 能养活的, 能生长发育的
"
zealous,"a. 热衷的, 热诚的, 热心的, 热情的"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
zeal,"n. 热心, 热衷, 热诚"
famous,"a. 出名的, 极好的"
fame,"n. 名望, 名声, 传说"
international,"a. 国际的
n. 国别设定
"
internal,"a. 内在的, 国内的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
deteriorate,v. (使)恶化
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
familial,"a. 家族的, 家庭的
"
filial,"a. 子女的, 当做子女的, 孝顺的
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
era,"n. 时代, 纪元, 时期"
language,"n. 语言, 文字, 措辞
"
linguist,n. 语言学家
linguistic,"a. 语言的, 语言学的
"
appear,"vi. 出现, 显得, 来到
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
transparent,"a. 透明的, 显然的, 清晰的
"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
arrange,"v. 安排, 排列, 达成协议
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
bra,"n. 奶罩
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
cattle,"n. 牛, 家畜
"
comprehension,"n. 理解, 包含"
comprise,"vt. 包含, 构成"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
via,"prep. 经由, 经过, 通过
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
previous,"a. 早先的, 前面的, 过急的
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
overeat,vt. (使)吃过量
obese,"a. 肥胖的
"
obesity,"n. 肥胖
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turmoil,"n. 骚动, 混乱"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
bonus,"n. 奖金, 红利
"
unbounded,"a. 无边的, 无限的, 无节制的"
foundation,"n. 基础, 根据, 建立
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
Aristotle,n. 亚里士多德
aristocratic,"a. 贵族的, 主张贵族统绐的, 有贵族气派的"
Archimedes,n. 阿基米德
arithmetic,"n. 算术, 算术知识
"
Don Quixote,唐吉诃德(西班牙作家塞万提斯(Cervantes)所著同名小说及其主人公)
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
Hammurabi,n. 汉谟拉比（公元前18世纪巴比仑王朝的第六代国王）
arbiter,"n. 仲裁人, 裁决者, 公断人
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
verb,"n. 动词
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
promote,"vt. 促进, 晋升, 创办, 推销
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
hair,"n. 头发, 毛发, 些微
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
hoarse,"a. 沙哑的, 嘶哑的
"
confidence,"n. 信心
"
faith,"n. 信心, 信任, 忠实, 保证
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
eatable,"a. 可以吃的
n. 食物"
edible,"n. 食品, 食物
a. 可食用的"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
constitute,"vt. 构成, 组成, 任命
"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
constitution,"n. 构成, 宪法, 体格
"
fans,"n. 风扇；狂热者, 粉丝（fan的复数形式）"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
mutual,"a. 相互的, 共有的
"
supervise,"v. 监督, 管理, 指导"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
orb,"n. 球, 天体, 球状物
vt. 成圆形, 成球形"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
globalize,vt. 使全球化
globalization,"[计] 全球化, 普及到世界范围"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
ridge,"n. 脊, 山脊, 山脉
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
collaborate,"vi. 合作, 勾结
"
cooperate,"vi. 合作, 协力, 配合
"
operate,"v. 操作, 运转, 动手术, 活动"
operational cost,[会计] 经营成本
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
rapper,"n. 敲门人, (美)(非正式)控告人, 证人, 检举人
"
kingdom,"n. 王国, 领域
"
domain,"n. 领域, 领土, 产业, 范围
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
circulate,"v. (使)流通, (使)循环, (使)传播"
circulation,"n. 流通, 循环, 发行量
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
saint,"n. 圣徒, 圣人
a. 神圣的
"
sane,"a. 神智健全的, 稳健的, 没病的, 合理的
"
insane,"a. 患精神病的, 极愚蠢的
"
insanity,"n. 疯狂, 愚顽, 精神错乱
"
abound,"vi. 大量存在, 富于, 充满"
abundant,"a. 丰富的, 充分的, 大量的"
abundance,"n. 丰富, 充足, 大量
"
redundant,"a. 多余的, 过多的, 冗长的
"
ridiculous,"a. 荒谬的, 可笑的"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
deride,"vt. 嘲弄, 嘲笑"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
kinship,"n. 亲属关系
"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
friendship,"n. 友谊, 友爱, 友善"
partnership,"n. 合伙, 合股, 合作关系
"
relationship,"n. 关系, 关联
"
applause,"n. 鼓掌, 喝彩, 赞许"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
oxygen,"n. 氧
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
oxide,"n. 氧化物
"
dioxide,"n. 二氧化物
"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
