arroyo,"n. 干涸沟壑, 旱谷, 小河"
plumage,n. 鸟类羽毛
fauna,"n. 动物群
"
behemoth,n. 庞然大物
aerie,"n. 猛禽的巢, 高处的房子, 高处的城堡"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
apiary,n. 养蜂场
aviary,"n. 大型鸟舍, 鸟类饲养场"
coop,"n. 狭小空间, 鸡笼, 捕鱼篓
vt. 关进鸡舍, 监禁"
corral,"n. 畜栏
vt. 把...关进畜栏"
fishery,"n. 渔业
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
glade,"n. 林间空地, 沼泽地"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
leviathan,"n. 海中怪兽, 巨轮"
acorn,"n. 橡树果实
"
arboreal,"a. 树的, 栖于树木的
"
arboretum,"n. 树木园, 植物园"
asparagus,"n. 芦笋
"
aspen,"n. 山杨
a. 山杨的, 颤抖的"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
botany,"n. 植物学
"
bouquet,"n. 花束
"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
bulb,"n. 球茎, 电灯泡
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
chaff,"n. 谷壳, 糠, 揶揄
v. 开玩笑, 戏弄"
chrysanthemum,n. 菊花
cob,"n. 圆块
vt. 捣碎"
cone,"n. 圆锥体, 球果
vt. 使成锥形"
conifer,"n. 松柏目植物, 针叶树"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
cypress,"n. 柏, 落羽杉, 柏树
"
elm,"n. 榆树
"
eucalyptus,"n. 桉(树)属植物
"
fern,"n. 蕨类植物
"
fig,"n. 无花果, 无价值的东西, 少许, 服装
vt. 打扮, 使马跑快"
flax,"n. 亚麻, 麻布, 亚麻织品
"
flora,"n. 植物群
"
foliage,"n. 树叶, 植物"
forestry,"n. 林学, 森林地
"
frond,"n. 叶, 植物体
"
fungi,"pl. 真菌, 突然发生而迅速生长的东西
"
gardenia,n. 栀子
genus,"n. 种, 类
"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
greenhouse,n. 温室
grove,n. 小树林
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
herbaceous,"a. 草本的, 叶状的, 绿色的
"
hull,"n. 壳, 皮, 船体
vt. 去壳"
husk,"n. 外壳, 皮, 无价值之物
vt. 剥...的壳, 削皮"
kernel,"n. 核心, 中心, 精髓, 内核
"
maize,"n. 玉蜀黍, 黄色
a. 玉蜀黍色的, 黄色的"
maple,"n. 枫, 枫木, 淡棕色
"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
menthol,"n. 薄荷醇
"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
nestle,"vi. 舒适地坐定, 挨靠, 偎依
vt. 抱, 安置"
oak,"n. 橡树, 橡木
a. 橡木制的"
orchard,"n. 果园, 果树林"
pecan,n. 美洲山核桃(树)
petal,"n. 花瓣
"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
pod,"n. 豆荚, (豆荚状的)保护性外壳, 扁豆形矿体
vt. 从豆荚中剥出
vi. 结豆荚"
pollen,"n. 花粉
vt. 传授花粉给"
raisin,n. 葡萄干
reed,"n. 芦苇, 芦笛, 簧舌, 纤弱的人
vt. 用芦苇盖, 用小凸嵌线装饰"
resin,"n. 树脂
vt. 涂树脂于"
rhubarb,"n. 大黄, 大黄根"
sap,"n. 树液, 体液, 活力, 坑道, 消弱, 警棍
vt. 使排出体液, 使伤元气, 使衰竭, 挖坑道逼近, 逐渐侵蚀
vi. 挖坑道, 消弱
"
scion,"n. 接穗, 子孙
"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
seedling,"n. 秧苗, 树苗
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
shrub,"n. 矮树, 灌木, 果汁甜酒"
sod,"n. 草地, (铺草坪用的)草皮, 故乡
vt. 铺上草皮, 以生草土覆盖"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
sprig,"n. 小树枝, 无头钉
vt. 用小树枝装饰, 用钉子钉上, 使蔓生"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
spruce,"n. 云杉
a. 颇为干净的, 俏的, 整洁的
v. (使)显干净, 打扮整齐"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
tare,"n. 巢菜, 稗子, 皮重
vt. 称皮重"
thicket,"n. 丛林, 草丛"
timber,"n. 木材, 木料
vt. 用木材建造"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
tuber,"n. 块茎, 突起, 结节
"
twig,"n. 小枝, 细枝
v. 懂得, 了解"
vanilla,"n. 香草, 香子兰"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
willow,"n. 柳树, 柳木制品
a. 柳树的, 柳木制的"
whorl,"n. 轮生体, 螺层, 螺旋状物, 涡
vt. 使成涡漩"
xerophyte,n. 旱生植物
almond,"n. 杏仁
"
beet,"n. 甜菜(根)
"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
bough,n. 大树枝
cursive,"a. 草书的, 草书体的
n. 草书, 草书原稿"
defoliate,v. (使)落叶
florescence,"n. 开花, 花期, 全盛期
"
heliotrope,"n. 天芥菜属植物, 淡紫色
"
oatmeal,"n. 燕麦片, 燕麦粥
"
orchid,"n. 兰花, 淡紫色
"
sapling,"n. 树苗, 小树"
windfall,"n. 被风吹落的果子, 横财
"
pollinate,vt. 对...授粉
cactus,"n. 仙人掌
"
ecology,"n. 生态学, 社会生态学
"
seaweed,"n. 海草, 海藻
"
agrarian,"a. 土地的, 耕地的
"
agronomy,"n. 农艺学, 农学"
atrophy,"n. 萎缩, 萎缩症
"
barren,"a. 不育的, 贫瘠的
n. 荒地"
blight,"n. 枯萎病
vt. 使染上枯萎病, 破坏
vi. 枯萎"
blighted,"a. 挫折, 枯萎, 摧残, 毁损"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
cultivate,"vt. 培养, 耕作"
cultivated,"a. 耕耘的, 栽植的, 有教养的"
fallow,"n. 休耕地
a. 休耕的, 淡棕色的"
fatten,"vi. 养肥
vt. 使肥胖"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
fertilize,"vt. 施肥, 使丰饶, 使受精"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
flaggy,"a. 多扁石的, 多菖蒲的, 凋萎的, 松软的"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
graft,"n. 嫁接, 贪污
v. 嫁接, 移植, 贪污"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
husbandry,"n. 农事, 饲养业, 家政"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
manure,"n. 肥料, 粪肥
vt. 施肥于"
plough,"n. 犁, 犁过的地
vi. 用犁耕田, 开路
vt. 耕, 犁, 开路"
provender,"n. 粮草, 秣, 食物"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
scythe,"n. 长柄大镰刀, 大钐镰
vt. 用大镰刀割"
sere,"a. 干枯的
n. 演替系列"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
spackle,一种抹墙粉的商标名；抹墙粉于...
sterile,"a. 不毛的, 不孕的, 无菌的, 贫瘠的, 无效的, 枯燥的
"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
tiller,"n. 耕种者, 分蘖
vi. 分蘖"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
wilt,"v. (使)枯萎, (使)衰弱, (使)畏缩
n. 枯萎, 衰弱, 憔悴"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
acarpous,"a. [植]不结果的,无果实的"
fecund,"a. 生殖力旺盛的, 多产的, 丰饶的, 肥沃的"
fodder,"n. 饲料, 草料, 素材, 弹药
vt. 喂"
granary,"n. 谷仓, 谷物仓, 主要来源, 主要贮藏所"
loam,"n. 壤土
vt. 用土填"
shrivel,"v. (使)起皱纹, (使)枯萎, (使)束手无策"
thresh,"vt. 打谷, 摔打, 反复研究, 推敲
vi. 打谷, 鞭打, 剧烈扭动"
wizen,"vt.vi. (使)枯萎, (使)雕谢"
horticulture,n. 园艺
humus,"n. 腐殖质
"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
prairie,"n. 大草原, 草甸"
depressant,"a. 有镇静作用的
n. 镇静剂"
abscission,"n. 切断, 除去
"
acrophobia,"n. 恐高症
"
ail,"vt. 使苦恼
vi. 生病, 处境困难
"
alimentary,"a. 饮食的, 供养的
"
allergic,"a. 对...过敏的, 极反感的
"
allergy,"n. 变应性, 反感, 厌恶
"
amnesia,"n. 健忘症, 记忆缺失
"
analgesic,"a. 止痛的, 痛觉缺失的
n. 止痛剂"
anatomical,"a. 解剖的, 解剖学的, 构造上的
"
anemia,"n. 贫血, 贫血症, 无活力
"
anemic,"a. 贫血的, 患贫血症的, 无活力的
"
anorexia,"n. 食欲缺乏, 厌食
"
antibiotic,"n. 抗生素
a. 抗生的"
antibody,"n. 抗体
"
antidote,"n. 解毒剂, 解毒药
"
antihistamine,n. 抗组胺药
antiseptic,"n. 抗菌剂, 防腐剂
a. 抗菌的, 防腐的"
apoplectic,"n. 中风病人
a. 中风的, 有中风迹象的"
arthritis,"n. 关节炎
"
aseptic,"n. 防腐剂
a. 无菌的"
asphyxiate,"vi. 窒息
vt. 使窒息"
asthma,"n. 哮喘
"
astringent,"n. 收敛剂
a. 收敛性的, 严厉的, 涩的"
balm,"n. 镇痛软膏, 香膏
"
blotch,"n. 大斑点, 污斑, 疹块
"
carcinogen,"n. 致癌物质
"
cauterize,"vt. 烧灼, 使麻木不仁
"
clinical,"a. 临床的, 门诊部的
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
coma,"n. 昏迷, 麻木, 彗发
"
comatose,"a. 昏睡的, 昏睡状态的
"
concussion,"n. 剧烈摇动, 震荡
"
contagious,"a. 触染性的, 会蔓延的
"
convalesce,"vi. 渐渐康复, 渐愈"
convalescent,"a. 恢复健康的, 恢复期的, 渐愈的, 康复的
n. 恢复中的病人, 康复的人"
corpuscle,"n. 细胞, 血球, 微粒
"
deranged,"a. 精神错乱的, 疯狂的"
diabetes,"n. 糖尿病, 多尿症
"
diagnose,v. 诊断
dissect,"v. 解剖, 切开"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
dyslexia,"n. 诵读困难
"
dyspeptic,"a. 消化不良的, 引起消化不良的, 患消化不良的
n. 消化不良者"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
fester,"vi. 溃烂, 生脓
vt. 使溃烂
n. 脓疮, 溃烂"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
frantic,"a. 狂乱的, 疯狂的"
frenetic,"a. 发狂的, 狂热的
n. 发狂者"
fumigate,"vt. 熏制
"
gerontology,"n. 老年医学, 老人学
"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
hemophilia,n. 血友病
hemorrhage,"n. 出血
"
hemostat,"n. 止血钳子, 止血剂
"
hypertension,"n. 高血压, 过度紧张
"
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunity,"n. 免疫, 免疫性, 免除
"
immunize,"vt. 使免疫, 赋予免疫性"
infection,"n. 传染, 影响, 传染病
"
injection,"n. 注射, 注射剂
"
inoculate,"vt. 接种, 嫁接
"
insomnia,"n. 失眠症
"
irremediable,"a. 不能治疗的, 不能改正的, 不能挽回的"
lancet,"n. 刺血针, 小枪, 尖顶窗
"
laxative,"a. 通便的, 轻度腹泻的
n. 通泻剂, 缓泻药"
mania,"n. 狂躁, 热衷, 狂热
"
measly,"a. 患麻疹的
"
monomania,"n. 狂热, 偏执狂
"
morbid,"a. 致病的, 病态的, 疾病的, 可怕的
"
myopia,"n. 近视
"
myopic,a. [眼科]近视的；目光短浅的
narcotic,"n. 麻醉药, 镇静剂
a. 麻醉的, 催眠的"
neurology,"n. 神经病学
"
orthodontics,[医] 正牙学
overdose,"n. 配药量过多
vt. 配药过量, 使过分沉溺"
opium,"n. 鸦片
"
painkiller,"n. 解痛药, 止痛片, 止痛药"
palliative,"a. 缓和的, 减轻的, 掩饰的
n. 辩解, 缓和物"
pallid,"a. 苍白的, 暗淡的, 无生气的"
panacea,"n. 万能药, 灵丹妙药
"
paranoia,"n. 偏执狂, 多疑症
"
paranoid,"a. (似)患妄想狂的, (似)患偏执狂的
n. 患妄想狂的人"
pasteurize,"vt. 用巴氏法灭菌
"
pathogen,"n. 病原体
"
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
pathology,"n. 病理学, 病理, 病状, 病变
"
palpate,"vt. 触诊
a. 有触须的"
pediatrics,"n. 小儿科
"
penicillin,"n. 盘尼西林, 青霉素
"
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
pharmacology,"n. 药理学, 药物学
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
podiatrist,"n. 脚病医生
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
prescription,"n. 处方, 命令, 指定
"
psychology,"n. 心理学, 心理状态
"
purgative,"a. 净化的, 通便的, 赎罪的
n. 泻剂"
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
rabid,"a. 猛烈的, 热烈的, 急进的, 狂怒的, 偏激的, 疯狂的
"
rabies,"n. 狂犬病
"
recuperate,"vt. 恢复, 使复原, 使恢复健康, 使恢复精神
vi. 复原, 恢复健康, 挽回损失"
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
salubrious,"a. 有益健康的, 健康的
"
salutary,"a. 有益的, 有用的, 有益健康的
"
salve,"n. 油膏, 药膏, 安慰, 奉承话
vt. 涂油膏于, 安慰, 缓和, 抢救, 打捞"
scalpel,"n. 解剖刀
vt. 用解剖刀切开"
sedative,"a. 使安静的, 使镇静的
n. 镇静剂"
septic,"a. 腐败的, 脓毒性的
n. 引起腐败的物质"
soporific,"a. 催眠的, 想睡的, 令人麻木不仁的
n. 催眠剂, 安眠药"
stammer,"v. 口吃, 结结巴巴地说
n. 口吃, 结巴"
sterilize,"vt. 使成不毛, 使绝育, 杀菌, 使不起作用
"
sterilization,"n. 使成不毛, 无用状态, 杀菌, 绝育
"
stethoscope,"n. 听诊器
vt. 用听诊器诊断"
stimulant,"a. 兴奋性的, 激励的, 鼓舞的
n. 兴奋剂, 酒精饮料"
stutter,"n. 口吃, 结结巴巴
v. 结结巴巴地说"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
syringe,"n. 注射器, 洗涤器
vt. 注射, 洗涤"
therapeutic,"a. 治疗的, 有益于健康的
"
tourniquet,"n. 止血器, 压脉器
"
ulcer,"n. 溃疡, 腐烂物
"
unguent,"n. 软膏, 药膏, 润滑油
"
vaccinate,v. 预防接种
vivisection,"n. 活体解剖
"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
wan,"a. 苍白的, 无血色的, 病态的, 暗淡的
v. (使)变苍白
"
wanderlust,"n. 漫游癖, 流浪癖"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
ailment,"n. 病痛, 疾病
"
albino,"n. 白化病者, 白化体
"
amputate,"vt. 切断, 删除"
anemic,"a. 贫血的, 患贫血症的, 无活力的
"
anodyne,"n. 止痛药, 镇痛剂
a. 止痛的"
canker,"n. 溃疡, 腐蚀因素
vi. 患溃疡, 腐蚀, 溃烂
vt. 使患溃疡, 使腐蚀"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
derangement,"n. 捣乱, 紊乱, 精神错乱, 混乱, 搅乱, 扰乱
"
dietetics,"n. 饮食学
"
dipsomania,"n. 嗜酒症, 饮酒狂
"
dissection,"n. 解剖, 切开
"
elixir,"n. 炼金药, 不老长寿药, 万能药
"
gastritis,"n. 胃炎
"
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
hepatitis,"n. 肝炎
"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
hypodermic,"a. 皮下的, 真皮的
n. 皮下注射, 皮下注射器"
insane,"a. 患精神病的, 极愚蠢的
"
lesion,"n. 损害, 身体上的伤害
"
medicate,"vt. 用药治疗
"
mesmerism,"n. 催眠术, 催眠状态
"
misogamy,"n. 厌恶结婚
"
nephritis,"n. 肾炎
"
neurosis,"n. 神经症, 神经机能病
"
opiate,"n. 鸦片制剂, 镇静剂
a. 含鸦片的, 催眠的
vt. 使麻醉, 使缓和"
parturition,"n. 分娩, 生产
"
phobia,"n. 恐怖病, 恐惧症, 惧怕, 憎恶
"
sanatorium,"n. 疗养院, 疗养所, 静养地
"
spasmodic,"a. 痉挛的, 痉挛性的, 由痉挛引起的, 抽搐的, 间歇的, 突发性的, 一阵阵的
"
transfuse,"vt. 输血, 充满
"
ulcerate,"vt. 使溃疡, 使腐败
vi. 溃烂, 腐败"
vomit,"vt. 吐出, 呕吐
vi. 呕吐
n. 呕吐, 呕吐物, 催吐剂"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
fungicide,"n. 杀真菌剂
"
ligature,"n. 绳, 索, 缚带
vt. 缚, 捆, 结扎"
nostrum,"n. 万能药, 成药, 妙方
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
placebo,"n. (为死者所诵的)晚祷歌, 安慰剂, 安慰的话, 使人宽慰的事
"
reagent,"n. 试剂, 反应物
"
eviscerate,"vt. 取出内脏, 除去精华, 切除(病人)器官
vi. (因手术不良)内脏凸出"
febrile,"a. 发热的, 热病的, 热性的
"
inflamed,"a. 红肿的, 发炎的"
geriatrics,"n. 老年人, 老年病人
"
hydrophobia,"n. 恐水病, 狂犬病
"
pestilential,"a. 瘟疫的, 有害的, 传播疾病的, 讨厌的, 恼人的
"
poultice,"n. 泥罨剂
vt. 敷泥罨剂于"
psychopathic,"a. 精神病的, 精神变态的
n. 精神变态者, 精神病患者"
malady,"n. 病, 疾病, 弊病
"
palpitation,"n. 悸动, 跳动, 心跳
"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
bacteria,"pl. 细菌
"
bacterium,"n. 细菌
"
biosphere,"n. 生物圈
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
calorie,n. 卡路里（热量单位）
chromosome,"n. 染色体
"
colony,"n. 殖民地, 移民队
"
coloration,"n. 着色, 特色, 色彩, 天然颜色"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
cytology,"n. 细胞学
"
digestion,"n. 消化力, 领悟
"
disinfect,"vt. 消毒
"
enzyme,"n. 酶
"
excrete,"vt. 排泄, 分泌
"
gene,"n. 基因
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
genetics,"n. 遗传学
"
genome,
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
histology,"n. 组织学
"
hormone,"n. 荷尔蒙
"
insentient,"a. 无知觉的, 无生命的"
latency,"n. 潜伏, 潜在
"
membrane,"n. 薄膜, 膜, 羊皮纸
"
metabolism,"n. 新陈代谢, 变态
"
microbe,"n. 微生物, 细菌
"
microorganism,"n. 微生物, 微小动植物
"
microscope,"n. 显微镜
"
moldy,"a. 发霉的, 腐臭的"
mutate,"vi. 变化, 产生变异, 变化元音
vt. 使变异"
organism,"n. 生物, 有机体, 社会组织
"
paleontology,"n. 古生物学
"
photosynthesis,"n. 光合作用
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
propagation,"n. 增殖, 繁殖, 宣传
"
recessive,"a. 后退的, 逆行的, 隐性的
n. 隐性性状"
synergic,"a. 协作的, 协同的
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
viral,"a. 病毒的, 病毒引起的
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
vertebrate,"n. 脊椎动物
a. 有椎骨的, 有脊椎的"
anaerobic,"a. 厌氧的, 在缺氧情况下生活的
"
accrue,"vi. 自然增加, 产生
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
augment,"v. 增加, 增长
"
axiom,"n. 自明之理, 公理, 原理, 格言
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
breadth,"n. 宽度
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
calculus,n. 结石；微积分学
calibrate,"vt. 测定口径, 校准, 使标准化, 调整
"
calipers,"pl. 测径规, 卡钳
"
census,"n. 户口普查
vt. 实施统计调查"
circumference,"n. 圆周, 周缘, 胸围
"
cone,"n. 圆锥体, 球果
vt. 使成锥形"
diagonal,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
diagram,n. 图表；图解
diameter,"n. 直径
"
digit,"n. 数字, 位数, 指头
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
diminution,"n. 减少, 缩小, 减低
"
elliptical,"a. 椭圆的
"
equation,"n. 相等, 等式, 平衡
"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
exponentially,adv. 以指数方式
factorable,[计] 可分解因子的
formula,"n. 客套语, 公式, 准则
"
frequency,"n. 频率, 频数
"
hexagon,"n. 六角形, 六边形
"
hypotenuse,n. (直角三角形之)斜边
increment,"n. 增加, 增值, 盈余
"
indices,"pl. 索引, 指针, 指数, 指标"
irreducible,"a. 不能复归的, 不能削减的, 不可约的
"
multiply,"v. 繁殖, 乘, 增加
"
parabola,"n. 抛物线
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
radius,"n. 半径, 范围, 辐射光线
"
rectangle,"n. 长方形, 矩形
"
tangential,"a. 切线的, 相切的, 正切的, 离题的, 扯远的
"
vertex,"n. 顶点, 最高点, 头顶, 天顶
"
vertical,"a. 垂直的, 直立的
"
numerology,n. 命理学；数字命理学
quadrangle,"n. 四角形, 四边形, 四方院
"
accentuate,"vt. 以重音念, 强调, 重读"
argot,"n. 行话, 俚语, 黑话"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
bilingual,a. 双语的
cant,"n. 伪善之言, 黑话, 斜面, 角落
vi. 讲黑话, 倾斜"
circumlocution,n. 迂回的说法
colloquial,"a. 会话的, 口语的, 口语体的"
dialect,"n. 方言, 同源语"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
drawl,"v. 慢吞吞地说, 故意拉长调子讲话
n. 慢吞吞拉长调子的说话方式"
elocution,"n. 雄辩术, 演说法"
eloquence,"n. 口才, 雄辩术, 雄辩
"
enunciate,"vt. 明确地叙述, 表明
vi. 发音"
equivocate,"vi. 说模棱两可的话, 支吾"
equivocation,"n. 模棱两可的话, 含糊话
"
etymology,"n. 语源, 语源学"
euphemism,"n. 委婉说法, 委婉语"
harangue,"n. 演讲, 热烈讨论, 长篇大论, 夸夸其谈
vt. 向...夸夸其谈地讲话"
idiom,"n. 习语, 成语, 惯用语法, 方言"
incantation,n. 咒语
innuendo,"n. 讽刺, 暗讽
vi. 说讽刺话
vt. 暗示"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
