divulge,"vt. 泄露, 透露"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
eviscerate,"vt. 取出内脏, 除去精华, 切除(病人)器官
vi. (因手术不良)内脏凸出"
mince,"n. 切碎物
vt. 切碎, 矫揉做作地说
vi. 碎步走, 装腔作势"
exterminate,"vt. 扑灭, 消灭, 根绝"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
belittle,"vt. 轻视, 贬低"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
proximity,"n. 接近, 亲近"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
spurious,"a. 假造的, 伪造的, 欺骗的
"
apocryphal,"a. 伪的, 不足凭信的"
applaud,"v. 拍手喝彩, 称赞, 赞同"
bifurcate,"v. (使)分叉
a. 分双叉的"
cacophony,"n. 不愉快的音调, 不协和音, 杂音"
catastrophe,"n. 大灾难, 大祸
"
circumlocution,n. 迂回的说法
clairvoyance,"n. 神视, 超人的视力, 洞察力
"
cloying,a. 厌烦的；倒胃口的；因过量而厌烦的
collude,"vi. 共谋, 串通, 勾结"
concord,"n. 一致, 和睦, 协定"
cosset,"n. 供玩赏的小动物, 爱畜
vt. 宠爱, 珍爱, 溺爱"
counterbalance,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
covet,"v. 妄想, 垂涎"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
allegory,n. 寓言
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
perspicacious,"a. 聪颖的, 聪明的, 敏锐的, 有洞察力的"
perspicuous,"a. 表达得清楚的, 明白的, 明了的"
sleazy,"a. 质地薄的, 没有内容的, 低级庸俗的"
indemnify,"vt. 赔偿, 补偿, 保护, 保障
"
eyesore,n. 眼中钉
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
xenophobic,"a. 畏惧和憎恨外国人的
"
ineffable,"a. 无法形容的, 不可言喻的, 避讳的"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
despotic,"a. 专制的, 专横的, 暴虐的
"
capitulate,"vi. (有条件)投降
"
abominate,"vt. 厌恶, 憎恶"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
untoward,"a. 事与愿违的, 麻烦的, 困难的, 不幸的"
peruse,"vt. 熟读, 精读, 阅读, 仔细研究"
enthrall,"vt. 迷惑, 奴役, 迷住"
emphatic,"a. 语调强的, 着重的, 强调了的"
nonplus,"vt. 使困惑
n. 迷惑, 困惑"
phlegmatic,"a. 粘液质的, (正式)平静的, 不动情的, 不动感情的, 冷漠的, 冷淡的, 迟钝的
"
antidote,"n. 解毒剂, 解毒药
"
impersonal,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的
n. 非人称动词(或代词)"
ensue,"vi. 跟着发生, 继起
vt. 追求"
gore,"n. 流出的血, 淤血, 三角形布
vt. 把...剪成楔形三角布, 缝以补裆, 刺伤, 抵"
fallow,"n. 休耕地
a. 休耕的, 淡棕色的"
unruly,"a. 难控制的, 无法无天的, 任性的"
synoptic,"a. 概要的, 天气的, 对观福音书的"
conviction,"n. 定罪, 信服, 坚信
"
patrimony,"n. 祖传的财物, 继承物
"
vicarious,"a. 代理的, 代用的, 替代的
"
ductile,"a. 易延展的, 韧性的, 易教导的
"
dolorous,"a. 忧伤的, 悲痛的"
antiquated,"a. 陈旧的, 过时的, 年老的"
wayward,"a. 任性的, 难以捉摸的, 不稳定的, 刚愎的
"
errant,"a. 周游的, 离开正道的, 不定的"
cannibalize,"vt. 同类相食, 拆用...的配件, 调拨...的人员
vi. 同类相食, 拆用配件, 调拨人员"
discordant,"a. 不调和的, 不和的"
insinuate,"vt. 巴结, 暗示, 使滋长
vi. 旁敲侧击"
slinky,"a. 鬼鬼祟祟的, 苗条的"
attune,"vt. 为乐器调音, 使协调, 使合拍"
bluster,"vt. 风狂吹, 咆哮, 汹涌
vi. 咆哮着说出, 恐吓
n. 狂风声, 巨浪声, 夸口, 大话"
nonsensical,"a. 无意义的, 荒谬的"
villainous,"a. 坏人似的, 恶棍的, 罪恶的, 极坏的
"
drudgery,"n. 苦差事, 苦工"
millstone,"n. 磨石, 磨难, 重担"
canard,"n. 谣言, 误传"
accolade,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号"
laurel,"n. 月桂树, 荣誉
vt. 使戴桂冠, 授予荣誉"
intimidate,"vt. 威胁, 恐吓
"
temerity,"n. 鲁莽, 蛮勇"
assemblage,"n. 集合, 装配, 一群人
"
embattle,"vt. 列阵, 布阵, 整军备战, 严阵以待"
desultory,"a. 散漫的, 无条理的, 不连贯的"
expunge,"vt. 擦掉, 删掉, 除去"
jaundice,"n. 黄疸, 偏见, 乖僻
vt. 使患黄疸, 使怀偏见"
dainty,a. 秀丽的；美味的；讲究的；挑剔的
obloquy,"n. 辱骂, 毁谤, 耻辱"
remiss,"a. 怠慢的, 不小心的, 没精打采的, 疏忽的"
balkanize,"vt. 分割成小国, 使割据"
oxymoron,"n. 矛盾修饰法, 逆喻"
gaiety,"n. 愉快, 快活, 高兴"
altercate,"vi. 争论, 争吵"
coerce,"vt. 强制, 强迫"
gregarious,"a. 社交的, 群居的"
squander,"vt. 浪费, 使分散
vi. 浪费, 漂泊, 四散"
congruent,"a. 适合的, 一致的, 合谐的, 全等的"
wallow,"vi. 打滚, 沉迷, 颠簸
n. 打滚, 泥坑, 堕落"
derelict,"a. 被抛弃了的, 无主的, 玩忽职守的
n. 遗弃物, 被遗弃的人, 玩忽职守者"
dilapidate,"v. (使)荒废, (使)毁坏"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
introspect,"vt.vi. 进行反省
"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
figment,n. 虚构的事
intermittent,"a. 间歇的, 断断续续的
"
impervious,"a. 透不过的, 不易损坏的, 无动于衷的, 不受影响的
"
inappropriate,"a. 不适当的, 不相称的"
indiscernible,"a. 难识别的, 看不见的"
disreputable,"a. 名誉不好的, 不光彩的, 声名狼藉的"
plebeian,"n. 平民, 庶民, 大众, 平庸的人
a. 平民的, 一般的, 普通的, 粗俗的"
clairvoyant,"a. 神视的, 有洞察力的
n. 有洞察力的人, 千里眼"
hallucinogen,"n. 迷幻剂
"
voyeur,n. 偷看下流场面的人
boredom,"n. 厌烦, 厌倦, 令人厌烦的事物"
apogee,"n. 远地点, 最高点, 极点
"
acme,"n. 顶点, 极度, 最高点
"
precursor,"n. 先驱者, 前导, 前兆
"
civil,"a. 市民的, 公民的, 有礼貌的
"
peaceable,"a. 和平的, 太平的, 温顺的, 温和的, 平静的"
unfaltering,"a. 不摇晃的, 坚定的, 不犹豫的"
superfluous,"a. 多余的, 过剩的"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
cautious,"a. 谨慎的, 小心的"
cater,"v. 提供饮食及服务, 投合, 迎合"
clot,"n. 凝块, 一团
v. (使)凝结, (使)聚集"
elate,"vt. 使兴高采烈, 使得意"
avert,"vt. 转开, 避免, 防止"
fad,"n. 时尚
"
ape,"n. 无尾猿
"
irk,"vt. 使厌倦, 使苦恼"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
yen,"n. 日元(日本货币单位), 渴望, 嗜好
vi. 渴望"
opt,vi. 选择
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
curt,"a. 简略的, 简短的, 生硬的"
snag,"n. (尖利的)突出物, (衣服等的)戳破处, 断牙, 意外障碍
vt. 造成阻碍, 抓住机会, 抢到, 清除障碍物"
glut,"n. 大量, 供过于求
vt. 使充满, 使吃饱, 过多供应
vi. 吃得过多, 狼吞虎咽"
woo,"vt. 追求, 向...求爱, 恳求
vi. 求爱, 央求"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
balk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿
vi. 逡巡不前"
avid,"a. 渴望的, 急切的, 劲头十足的"
agog,"a. 兴奋着的, 急切的
adv. 急切地, 渴望"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
awry,"a. 歪的, 错误的
adv. 歪斜地, 错地"
quip,"n. 妙语, 遁辞, 讽刺
v. 说讽刺话, 嘲弄"
aver,"vt. 断言, 坚称
"
quash,"vt. 撤销, 平息, 镇压
"
glib,"a. 能说善道的, 流畅的"
roil,"vt. 搅浑, 使焦急"
rant,"v. 咆哮, 痛骂
n. 咆哮, 大话"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
avow,"vt. 坦率承认, 断言
"
trio,n. 三重唱
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
lurk,"n. 潜伏, 潜行
vi. 暗藏, 潜伏, 埋伏
"
hoax,"vt. 欺骗, 哄骗, 愚弄
n. 愚弄人, 恶作剧"
flit,"n. 掠过, 迁徙
vi. 掠过, 迁徙"
apex,"n. 顶, 尖端, 最高潮
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
usurp,"vt. 篡夺, 侵占, 夺取
vi. 篡夺, 侵占"
pithy,"a. 有髓的, 由髓组成的, 简洁有力的"
tonic,"n. 补药, (音乐)主调音或基音
a. 滋补的, 声调的, 使精神振作的"
niche,"n. 壁龛
vt. 放入壁龛, 安顿"
trite,"a. 老一套的, 陈腐的, 用坏的"
stoic,"a. 斯多葛派的, 禁欲主义的, 不以苦乐为意的, 坚忍的, 淡泊的
n. 斯多葛派学者, 画廊派的人, 禁欲主义者, 不介意苦乐的人, 高度自制的人"
murky,"a. 黝暗的, 阴沉的, 朦胧的"
blunt,"a. 钝的, 坦率的, 麻痹的"
flout,"vt. 嘲笑, 愚弄
vi. 表示轻蔑
n. 嘲笑, 愚弄, 轻视"
rue,"n. 懊悔, 后悔, 芸香
v. 后悔, 悲伤, 懊悔"
rote,"n. 机械性的背诵, 死记硬背"
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
snob,"n. 势利的人, 假内行"
shun,"vt. 避开, 规避, 避免"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
crass,"a. 粗俗的, 愚钝的, 粗糙的, 非常的"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
hone,"n. 磨刀石, 抱怨, 想念
vt. 用磨刀石磨, 磨练"
veto,"n. 否决权
vt. 否决, 禁止"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
extol,"vt. 颂扬, 称赞, 吹捧"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
tweak,"n. 拧, 扭, 焦急
vt. 扭, 开足马力"
verve,"n. 热情, 气魄, 神韵, 活力"
coy,"a. 腼腆的, 怕羞的, 羞怯的"
whit,"n. 些微, 一点点"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
demur,"vi. 提出异议, 反对, 抗辩
n. 异议, 反对"
belie,"vt. 掩饰, 与...不符, 使失望"
spike,"n. 长钉, 鞋钉, 钉状物, 尖峰状物, 穗
vt. 以大钉钉牢, 用尖物刺穿, 阻止, 弃置不用
"
quell,"vt. 压制, 平息, 减轻"
vapid,"a. 乏味的, 走了气味的, 无生气的, 无趣味的"
venal,"a. 可收买的, 贪污的, 用金钱买得的
"
hitch,"n. 猛拉, 急推, 蹒跚, 故障
vt. 猛拉, 系住
vi. 蹒跚, 被钩住"
rebut,"vi. 反驳
vt. 辩驳, 反驳, 揭露"
delve,"v. 探究, 查考
n. 坑, 穴"
totem,"n. 图腾, 标志物, 崇拜物"
edify,"vt. 启迪, 熏陶, 教诲"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
crave,"v. 渴望, 热望, 恳求"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
deter,"vt. 制止, 吓住, 威慑"
bogus,"a. 假的, 伪造的
"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
akin,"a. 同类的, 同族的, 同源的"
croon,"v. 低声歌唱, 低唱, 低吟
n. 低唱, 低吟, 轻哼"
bland,"a. 温和的, 乏味的, 冷漠的
"
surly,"a. 不和蔼的, 无礼的, 板面孔的, 阴沉的, 粗暴的, 乖戾的"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
hoard,"n. 贮藏物, 密藏的金钱
v. 囤积, 贮藏"
sap,"n. 树液, 体液, 活力, 坑道, 消弱, 警棍
vt. 使排出体液, 使伤元气, 使衰竭, 挖坑道逼近, 逐渐侵蚀
vi. 挖坑道, 消弱
"
rive,"vt. 撕开, 使破碎
vi. 裂开, 破裂"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
glum,"a. 愁闷的, 阴沉的"
whet,"n. 磨, 开胃小吃
vt. 磨, 磨快, 刺激, 促进"
plod,"n. 沉重的步伐, 辛勤工作
vi. 沉重地走, 辛勤工作, 孜孜从事
vt. 沉重缓慢地走"
gloat,"vi. 满足地看, 幸灾乐祸, 贪婪地盯视
n. 贪婪的盯视, 满足的注视, 幸灾乐祸"
loath,"a. 不情愿的, 厌恶的"
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
don,"n. 西班牙贵族(或绅士), 先生, 阁下
vt. 穿上"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
sift,"vt. 筛, 过滤, 撒, 详查
vi. 筛, 被筛下, 精选"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
guile,"n. 狡猾, 狡计"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
sloth,"n. 怠惰, 懒惰"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
deify,"vt. 奉为神, 奉若神明, 崇拜"
hoary,"a. 灰白的, 陈旧的
"
pique,"n. 赌气, 愤怒, 不快, 凹凸织物
vt. 伤害...自尊心, 激怒, 刺激, 引起兴趣, 使兴奋"
hubris,"n. 傲慢, 狂妄野心"
hew,"vt. 砍, 砍倒, 砍成
vi. 砍, 劈, 坚持"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
guild,"n. 团体, 协会, 行业协会
"
slur,"n. 连音符, 诽谤, 玷污, 印刷模糊
vt. 草率地看过, 忽略, 含糊地念
vi. 模糊不清"
cede,"vt. 割让
"
shrill,"n. 尖声
a. 尖锐的, 刺耳的
vt. 尖声说出
vi. 发出刺耳声"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
wilt,"v. (使)枯萎, (使)衰弱, (使)畏缩
n. 枯萎, 衰弱, 憔悴"
mete,"vt. 量, 测量, 分配
n. 边界, 界石"
spunk,"n. 精神, 勇气, 怒意, 引火柴"
cinch,"n. 肚带, 紧握, 必然(发生)的事情
vt. 给...系肚带, 紧握住, 抓牢"
backwater,"n. 死水, 滞水, 停滞, 回水"
moonshine,"n. 月光, 大话, 非法酿制的酒"
brainchild,n. 脑力劳动的产物
deadpan,n. 无表情的脸
sidestep,"n. 横跨的一步, 台阶
vt. 横跨一步躲避, 回避
vi. 回避问题, 躲避打击"
upshot,"n. 结果, 结局, (论证的)要点"
upbeat,"n. 弱拍, 上升, 兴旺
a. 上升的, 乐观的"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
impressionable,"a. 易感的, 敏感的, 可塑的"
personable,"a. 风度好的, 讨人喜欢的, 具有行为能力的"
inviting,"a. 引人动心的, 有魅力的
"
liken,"vt. 比喻, 比拟"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
romanticize,"vi. 有浪漫思想, 以浪漫方式行事, 以浪漫风格描写
vt. 使浪漫化"
defining,[计] 定义的
telling,"a. 有效的, 显著的, 显露内心活动的"
dour,"a. 阴沉的, 严厉的, 顽强的"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
calculated,"a. 有计划的, 适当的, 适合的, 计算出的
"
backfire,"n. 逆火, 回火, 放火
vi. 放逆火, 预先放火, 发生意外"
redoubtable,"a. 可怕的, 厉害的, 可敬的"
gridlock,"n. 交通全面大堵塞; 僵局
v. （交通等）堵塞"
bookish,"a. 好读书的, 书呆子的"
wanting,"a. 欠缺的, 不足的, 不够格的
prep. 没有, 缺少"
airtight,"a. 气密的, 不透气的, 无懈可击的
"
lest,"conj. 以免, 唯恐, 免得"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
grandstand,"n. 正面看台, 观众"
foreboding,"n. 预感, 先兆, 预兆"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
effortless,"a. 容易的, 不费力气的"
discerning,"a. 有眼力的, 敏锐的, 有辨别能力的, 有洞察力的"
rife,"a. 流行的, 盛传的, 充满的"
girth,"n. (树的)干围, 周长, 肚带
vt. 围绕, 包围
vi. 围长为"
hard-boiled,"熟蛋黄,冷酷"
spiteful,"a. 怀恨的, 怀有恶意的, 恶意的"
forbear,"v. 忍耐, 克制, 容忍
n. 祖先"
wont,"n. 习惯
a. 惯常的, 易于...的
vi. 习惯
vt. 使习惯于"
enjoin,"vt. 吩咐, 命令, 嘱咐, 禁止
"
glean,"v. 拾落穗, 收集"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
cleave,"vt. 劈开, 分开
vi. 劈开, 分开, 粘着, 依恋"
undue,"a. 不适当的, 过度的, 未到期的
"
qualm,"n. 晕眩, 不安, 疑虑
"
inestimable,"a. 无价的, 无法估计的"
mishap,"n. 不幸之事, 灾祸, 恶运"
brink,"n. 边缘, 陡岸"
underpin,"vt. 从下面支承, 支撑, 支持
"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
whisk,"n. 掸, 扫帚, 毛掸子, 搅拌器, 拂
vt. 扫, 拂, 挥动, 迅速移动, 搅拌
vi. 飞奔"
savvy,"v. 理解, 领悟
n. 理解能力, 机智, 悟性"
buoy,"n. 浮标, 航标, 救生圈
vt. 使浮起, 鼓励"
makeshift,"n. 权宜之计, 临时代用品
a. 权宜的, 临时代用的"
forthwith,"adv. 立刻, 不犹豫地, 不延迟地
"
cornerstone,"n. 奠基石, 基础"
bedrock,"n. 基岩, 基本原理, 基础"
resourceful,"a. 资源丰富的, 策略的, 机智的
"
appreciable,"a. 可感知的, 可评估的"
sate,"vt. 充分满足, 过分满意, 使厌腻"
stonewall,"vi. 防守挡击, 围以石墙, 妨碍或阻碍"
involuntary,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的
"
astronomical,"a. 天文学的, 庞大的"
misgiving,"n. 疑虑, 不安, 害怕, 担扰, 疑惧"
testy,"a. 易怒的, 暴躁的"
categorical,"a. 范畴的, 绝对的, 明确的"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
peerless,"a. 无比的, 出类的, 无双的"
proofread,"vt. 校正, 校对"
heartfelt,"a. 衷心的, 真心真意的"
vainglorious,"a. 自以为了不起的, 自负的, 虚荣心强的"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
hereabouts,adv. 在这里附近
groundless,"a. 无根据的, 无理由的
"
uneventful,"a. 太平无事的, 平静无事的"
daredevil,"n. 铤而走险的人, 蛮勇的人
a. 蛮勇的, 不怕死的"
incomparable,"a. 无比的, 不能比较的"
towering,"a. 高耸的, 激烈的"
slapdash,"n. 草率
a. 猛烈的, 粗心的"
invaluable,"a. 无价的, 价值无法衡量的"
slipshod,"a. 破烂的, 马虎的, 潦草的"
heartrending,"a. 令人心碎的, 悲惨的"
retiring,"a. 行将隐退的, 行将退休的, 就寝的"
belabor,"vt. 痛打
"
yardstick,"n. 码尺, 计算标准, 准绳
"
downcast,"a. 气馁的, 沮丧的"
telltale,"n. 搬弄是非者, 迹象, 指示器
a. 搬弄是非的, 泄露秘密的, 报警的"
moody,"a. 心情不稳的, 郁郁寡欢的, 喜怒无常的"
discriminating,"a. 区别性的, 有识别力的, 有差别的"
collected,"a. 收集成的, 镇定的"
taxing,"a. 繁重的, 费力的
"
demanding,"a. 要求高的, 费力的"
riveting,"a. 非常有趣的, 引人注目的
"
celebrated,"a. 驰名的, 有名的"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
exacting,"a. 苛求的, 吃力的"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
unfeeling,"a. 无感觉的, 无情的, 冷酷的"
whereabouts,"n. 下落, 所在之处
adv. 在何处"
uproot,"vt. 连根拔起, 根除"
agreeable,"a. 令人愉快的, 同意的
"
composed,"a. 镇静的, 沉着的"
barring,"prep. 不包括, 除非"
prohibitive,"a. 禁止的, 禁止性的
"
phenomenal,"a. 现象的, 能知觉的, 异常的, 显著的, 惊人的"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
"
amiss,"a. 有毛病的, 出差错的
adv. 错误地, 不顺当, 有缺陷地"
musty,"a. 发霉的, 霉臭的, 落伍的"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
canny,"a. 精明的, 谨慎的, 节约的"
uncanny,"a. 怪诞的, 可怕的, 离奇的, 神秘的"
mighty,"n. 有势力的人
a. 有势力的, 强大的, 有力的
adv. 很, 极"
locale,"n. 现场, 场所
"
finale,"n. 结局, 最后乐章, 终曲"
rationale,"n. 基本原理
"
halfhearted,"a. 不认真的, 无兴趣的, 不热心的"
morale,"n. 士气, 道德"
proverbial,"a. 谚语的, 谚语式的, 闻名的"
shorthand,"n. 速记
"
madcap,"a. 鲁莽的, 冲动的
n. 鲁莽的人"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
testing,"n. 测试
a. 吃力的, 试验的"
lengthy,"a. 冗长的, 漫长的"
materialize,"vt. 赋予实质, 使体现, 物质化
vi. 成有形, 体现, 实现"
calculable,"a. 可计算的, 可信赖的, 可靠的"
gainsay,"vt. 否定, 反驳
n. 否认, 反驳, 反对"
officious,"a. 多管闲事的, 非官方的
"
appraise,"vt. 评价, 估价
"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
bighearted,"a. 宽大的, 慷慨的"
artless,"a. 无虚饰的, 单纯的, 自然的"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
aback,"adv. 向后, 朝后, 突然, 船顶风地"
weighty,"a. 重的, 有份量的, 沉重的, 重大的, 严肃的
"
disown,"vt. 否认
"
virtually,adv. 事实上
unearth,"vt. 发掘, 掘出, 从洞中赶出, 揭露, 发现"
uptake,"n. 举起, 拿起, 理解, 上风井, 摄入, 吸收
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
pretext,"n. 借口, 托词
v. 以...为借口"
subtext,"n. 潜在的意思, 潜台词"
setback,"n. 挫折, 退步, 逆流"
backlash,"n. 后冲, 强烈反对
"
standstill,"n. 停止, 停顿
"
level-headed,adj. 头脑冷静的；清醒的
byword,"n. 谚语, 俗话, 笑柄"
one-stop,一站式服务
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
acquired,"a. 获得的, 后天的
"
rosy,"a. 蔷薇色的, 玫瑰红色的"
becoming,"a. 合适的, 适当的"
sententious,"a. 简洁的, 警句的, 富于格言的"
artifice,"n. 诡计, 技巧, 巧妙"
unrest,"n. 不安的状态, 动荡的局面
"
deadlock,"n. 僵局, 停顿
v. (使)停顿, (使)相持不下
"
expendable,"a. 可消费的, 消耗性的, 可牺牲的, 值得消耗的, 可消耗的
n. 消耗物, 可牺牲的人, 可牺牲的物"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
scuffle,"vi. 扭打, 混战, 拖着脚走, 敷衍了事
n. 扭打, 混战, 拖着脚走"
unnerve,"vt. 使失去勇气, 使胆怯, 使不能自制
"
clueless,"a. 无能的, 笨的"
studied,"a. 有计划的, 慎重的"
privation,"n. 缺乏, 穷困"
distance,"n. 距离, 远方, 遥远
"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
