criticize,"v. 批评, 吹毛求疵, 非难"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
mainly,"adv. 主要地, 大抵"
repressed,"a. 被镇压的, 受约束的, 被抑制的"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
conversation,"n. 会话, 说话, 交谈
"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
baggage,"n. 行李
"
donor,"n. 捐赠人
"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
base sth. on ...,"v. 根据
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
oppress,"vt. 压迫, 压抑, 使烦恼"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
demean,"vt. 贬低身分, 贬损"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
dizzying,a. 令人昏乱的；极快的；灿烂的
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
morsel,"n. 一口, 少量, 小片"
appetite,"n. 食欲, 欲望, 爱好
"
credential,"n. 国书, 凭据, 证明书
"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
GOP,[网络] 营业毛利；散热器罩；流动资金后的停业毛利
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
terrified,a. 受惊吓的；感到恐惧的
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
vaguely,"adv. 含糊地, 暧昧地"
surroundings,"n. 环境, 周围的事物
"
majority,"n. 多数, 大半
"
papist,"n. 教皇制信奉者, 天主教徒"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
chilly,"a. 寒冷的, 冷淡的, 不友好的
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
credibility,"n. 可信用, 确实性, 可靠
"
rebrand,"v. 给（产品或组织）重新命名（或包装）, 重塑…的形象"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
reporter,"n. 记者, 报告者
"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
knowingly,"adv. 会意地, 心照不宣地, 故意地, 有意地, 老练地
"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
tentative,"n. 试验
a. 试验性的, 暂时的"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
indignant,"a. 愤怒的, 愤慨的"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
whether,"conj. 是否, 不论
pron. 两个中的哪一个"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
unanimously,"adv. 全体一致, 无异议, 一致同意"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
viewpoint,n. 观点
delightfully," 大喜, 欣然"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
hearing,"n. 听, 听觉, 听讯
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
brutalize,"vt. 使残忍, 残酷地对待, 使残酷无情, 变成野兽一样残忍"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
imagery,"n. 肖像, 比喻, 雕刻
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
credible,"a. 可信的, 可靠的
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
recite,"v. 背诵, 朗读, 叙述"
anthem,"n. 圣歌, 赞美诗"
economics,"n. 经济学
"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
era,"n. 时代, 纪元, 时期"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
rating,"n. 等级, 额定功率, 责骂
"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
gender,"n. 性
vt. 产生"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
aesthetic,"a. 美学的, 审美的, 有美感的"
immersion,"n. 沉浸, 专心, 陷入
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
exclude,"vt. 除外, 排除, 排斥
"
council,"n. 会议, 委员会
"
mediocre,"a. 不好不坏的, 通常, 平凡的"
superficially,"adv. 表面, 表面性, 浅层, 不深, 表皮, (贬)肤浅, 一知半解, 浅薄, 平方, 浮面"
cataclysmic,"a. 洪水的, 灾变的, 政治和社会大变动的"
bizarre,a. 奇异的
coincidence,"n. 巧合, 同时发生
"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
solemn,"a. 严肃的, 郑重的, 庄严的"
oath,"n. 誓约, 誓言, 咒骂
"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
treatment,"n. 治疗, 待遇, 处理
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
malignant,"a. 有恶意的, 恶性的, 有害的
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
seemingly,"adv. 看来似乎, 表面上看来"
crucial,"a. 决定性的, 重要的, 严厉的
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
percentage,"n. 百分比, 比率, 部分, 可能性
"
whenever,"conj. 每当
adv. 不论何时, 每逢"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
compulsory,"a. 被强制的, 强迫的, 义务的
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
urgent,"a. 紧急的, 急迫的, 催逼的
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
incur,"vt. 招致, 蒙受, 遭遇
"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
outperform,vt. 胜过；做得比……好
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
surpass,"vt. 超越, 凌驾, 胜过"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
lively,"a. 活泼的, 鲜明的, 生动的"
premiere,"v. 初次公演, 首次露面
n. 初次的演出
a. 首次的, 首位的"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
monument,"n. 纪念碑, 纪念物, 石碑"
assortment,"n. 分类, 各种各样
"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
awkward,"a. 笨拙的, 棘手的"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
successive,"a. 继承的, 连续的
"
fixture,"n. 固定(状态), 固定物, 设备
"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
renovation,"n. 革新, 刷新, 修理
"
cramped,"a. 狭窄的, 难懂的, 难辨的"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
remit,"vt. 宽恕, 赦免, 免除, 汇出, 缓解, 减轻, 把...提交, 使恢复原状, 推迟
vi. 缓解, 汇款
n. 移交的事物"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
simulate,"vt. 模拟, 假装, 模仿
"
debris,"n. 碎片, 残骸
"
equatorial,"a. 近赤道的, 赤道的
"
civil,"a. 市民的, 公民的, 有礼貌的
"
aviation,"n. 航空, 航空学, 飞行术
"
conference,"n. 会议
"
cockpit,"n. 驾驶员座舱, 战场"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
investigation,"n. 调查, 审查
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
energetic,"a. 精力充沛的, 积极的"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
enclosed,"a. 被附上的
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
cognitive,"a. 认知的, 认识的"
impairment,"n. 削弱, 减少, 损害, 损伤, 危害
"
dementia,"n. 痴呆
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
restrain,"vt. 抑制, 阻止, 束缚
"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
outpost,"n. 前哨, 前哨部队, 前哨基地"
navigation,"n. 航行, 航海, 导航
"
dime,n. 10分硬币(美、加)
featureless,"a. 无特色的, 平凡的"
inhabitant,"n. 居民, 居住者
"
guidance,"n. 指导, 领导
"
misleading,"a. 引入歧途的, 使人误解的, 骗人的
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
exaggerate,"v. 夸大, 夸张"
beneficial,"a. 有益的, 受益的
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
sensor,"n. 传感器
"
temptation,"n. 诱惑, 诱惑物
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
entertainment,"n. 娱乐, 款待, 娱乐表演"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
Switzerland,n. 瑞士
classify,"vt. 分类, 归类, 分等
"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
titanosaur,n. [古生]无法龙(白垩纪一种两栖食草大恐龙)
dubious,"a. 可疑的, 不确定的"
distinction,n. 区别
along with,"与…一道,与…一起,连同…"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
start-up,"突然站起, 突然出现, 发动, 开动"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
quantitative,"a. 数量的, 定量的
"
qualitative,"a. 性质的, 质的, 定性的"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
Kurt Vonnegut,[网络] 冯内古特；库尔特·冯内古特；冯内果
fascinated,a. 着迷的；被深深吸引的
mathematical,"a. 数学的, 精确的
"
connection,"n. 连接, 关系, 前后关系
"
collision,"n. 碰撞, 冲突, 抵触
"
meteor,"n. 流星, 大气现象"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
catastrophism,n. 灾变说
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
domain,"n. 领域, 领土, 产业, 范围
"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
gradually,adv. 逐渐地
common,"a. 通常的, 共同的, 通俗的, 公共的
"
humanity,"n. 人性, 人类, 博爱"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
chart,"n. 图表, 海图
vt. 制成图表
"
correspond,"vi. 符合, 通信, 相当
"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
thereby,adv. 因此
scolding,"n. 责骂, 叱责"
punishment,"n. 处罚, 刑罚, 惩罚
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
southbound,"a. 向南行的, 向南行驶的"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
satellite,"n. 人造卫星
"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
median,"a. 中央的, 中间的, 正中的
n. 正中动脉, 中位数, 中线"
discretionary,[计] 选择的
income,"n. 收入, 收益, 流入
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
fumbling,"v. （笨拙地）摸索或处理（某事物）( fumble的现在分词 ); 乱摸, 笨拙地弄; 使落下"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
consensus,"n. 合意, 一致, 同感
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
drama,"n. 戏剧, 戏剧艺术"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
intensity,"n. 强烈, 紧张, 强度
"
melodic,"a. 有旋律的, 旋律美妙的"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
monotonous,"a. 单调的, 无变化的"
pronounce,"v. 发音, 宣告, 断言"
vowel,"n. 元音
a. 元音的"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
expect,"vt. 预期, 盼望, 期待"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
novelty,"n. 新奇, 新鲜, 新奇的事物"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
algae,"pl. 藻类, 海藻
"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
ashore,"adv. 向岸, 在岸上"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
presumably,"adv. 推测上, 大概"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
dozen,"n. 打, 十二个
a. 一打的"
unexpected,"a. 料想不到的, 突然的, 意外的
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
identical,"a. 同一的, 恒等的, 完全相同的
"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
hard-core,中坚力量；碎砖垫层
workout,"n. 试验, 试用, 锻炼"
certified,"a. 证明合格的
"
critic,"n. 批评家, 鉴定家"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
shortcoming,"n. 缺点, 短处"
reliability,"n. 信度, 可靠性
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
developing,"a. 发展中的
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
independence,"n. 独立, 自立, 自主
"
Pakistan,n. 巴基斯坦
clemency,"n. 仁慈, 宽厚, 仁厚"
opt,vi. 选择
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
prompting,"n. 刺激, 激励, 提示
"
bioethics,n. 生物伦理学
seductive,"a. 诱惑的, 引人注意的, 有魅力的"
arrogant,"a. 自大的, 傲慢的"
transcend,"vt. 超越, 胜过"
Venezuela,n. 委内瑞拉
organization,"n. 组织, 结构, 团体, 体制
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
expulsion,"n. 逐出, 开除, 驱逐, 排气
"
Veda,n. 吠陀经；吠陀本集（印度最古老的宗教文献和文学作品的总称）
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
faction,"n. 小派系, 内讧
"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
orthodox,"a. 正统的, 传统的, 惯常的"
mythic,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
bride,n. 新娘
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
yearn,"vi. 渴望, 想念, 怀念, 同情"
soundtrack,"n. 声迹, 声槽, 声带"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
every bit as,完全一样
nasty,"a. 污秽的, 下流的, 险恶的"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
circus,"n. 马戏团, 马戏, 竞技场"
addition,"n. 加法, 增加的人(或物)
"
accordance,"n. 一致, 和谐"
GAAP,abbr. 一般公认会计原则（Generally Accepted Accounting Principles）
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
upholstery,"n. 家具被覆材料, 家具装饰用品业"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
earthquake,n. 地震
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
geological,"a. 地质学的, 地质的"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
biology,"n. 生物学
"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
agriculture,"n. 农业
"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
quantify,"vt. 定量, 用数量表示, 测量"
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
prediction,"n. 预言, 预报
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
ultrasonic,"n. 超声波
a. 超音速的"
emitter,"n. 发射体, 发射极
"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
optical,"a. 眼睛的, 视觉的, 光学的
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
vertical,"a. 垂直的, 直立的
"
range from ... to ...,"从...到...(不等), 范围从...到..."
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
peasant,"n. 农夫, 乡下人"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
solidarity,"n. 团结, 团结一致, 共同一致
"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
excursion,"n. 远足, 游览圆, 短程旅行
"
meditation,"n. 沉思, 冥想"
circular,"a. 圆形的, 循环的, 间接的
"
thesis,"n. 论题, 论文"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
formula,"n. 客套语, 公式, 准则
"
weighted,"a. 偏向的, 偏重的, 有利的
"
excavate,"v. 挖空, 挖出, 凿通"
complicated,"a. 复杂的
"
extensive,"a. 广的, 广泛的, 多方面的
"
set the stage for,"为…铺平道路,为…做好准备"
