able,"a. 能干的, 能够的"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
soccer,n. 英式足球
tennis,n. 网球
basketball,n. 篮球
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
bad,"a. 坏的
n. 坏
adv. 坏地"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
excellent,"a. 优良的, 杰出的, 出色的"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
bank,"n. 银行, 堤, 岸
"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
seaside,"a. 海边的, 海滨的
n. 海滨"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
beach,n. 海滩
banquet,n. 宴会
dinner,"n. 晚餐, 正餐, 宴会"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
barrel,"n. 桶
vt. 装入桶内"
bucket,"n. 桶
"
basin,"n. 盆, 盆地
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
bath,"n. 沐浴, 浴室
"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
battle,"n. 战役
v. 战斗"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
beautiful,a. 美丽的
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
lovely,"a. 可爱的, 有趣的"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
clever,"a. 聪明的, 精明的"
wise,"a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的
vi. 知道
vt. 教导, 告诉, 劝导
n. 方法, 方式
"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
foolish,"a. 愚蠢的, 傻的"
silly,"a. 愚蠢的, 糊涂的"
stupid,"a. 愚蠢的, 麻木的"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
because,conj. 因为
therefore,"adv. 因此, 所以"
thus,"adv. 如此, 因此, 到如此程度
"
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
or,"conj. 或, 或者
"
otherwise,"adv. 否则, 不同地, 别的方式"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
become,"vi. 变成, 变得
vt. 适合"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
pork,"n. 猪肉
"
chicken,"n. 小鸡, 鸡肉"
meat,"n. 肉, 餐, 食物
"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
beg,"v. 乞求, 乞讨, 请求"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
require,"vt. 需要, 命令, 要求
"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
expect,"vt. 预期, 盼望, 期待"
begin,"v. 开始
"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
believe,v. 相信
faith,"n. 信心, 信任, 忠实, 保证
"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
bell,"n. 铃, 钟
"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
belt,"n. 带子, 地带
"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
bench,"n. 长椅子
"
shelf,"n. 架子, 搁板
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
biography,n. 传记
biology,"n. 生物学
"
physics,"n. 物理学, 物理过程, 物理现象
"
chemistry,"n. 化学, 化学过程
"
geography,"n. 地理学, 地理
"
mathematics,"n. 数学
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
psychology,"n. 心理学, 心理状态
"
economic,"a. 经济上的, 实用的, 节省的
"
sociology,"n. 社会学
"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
robotics,"[计] 机器人学, 自动机工程学"
genetics,"n. 遗传学
"
clone,"n. 无性系
"
science,"n. 科学, 学科, 学问, 自然科学
"
future,"n. 未来, 将来
a. 将来的, 未来的"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
billion,"num. 十亿, 十亿个"
million,"n. 百万, 无数
num. 百万"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
twice,"adv. 两次, 两倍"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
zero,"n. 零, 零点, 零度, 无, 乌有, 最低点
a. 零的, 没有的
vt. 调零, 对(炮火等)作协调校正
"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
three,"num. 三, 三个"
four,"num. 四, 四个
"
five,"num. 五, 五个"
six,"num. 六, 六个"
seven,"num. 七, 七个"
eight,"num. 八, 八个"
nine,"num. 九, 九个"
eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
dozen,"n. 打, 十二个
a. 一打的"
bicycle,n. 自行车
bike,"n. 自行车, 脚踏车"
bus,"n. 公共汽车
"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
car,"n. 汽车, 客车
"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
passenger,"n. 乘客, 旅客
"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
rose,"n. 玫瑰, 蔷薇, 玫瑰色
a. 玫瑰色的, 玫瑰花的
vt. 使成玫瑰色
rise的过去式"
grass,"n. 草, 草原, 牧场
"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
birth,"n. 出生, 起源
"
born,"a. 天生的
bear的过去分词"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
biscuit,"n. 饼干
"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
chocolate,"n. 巧克力
a. 巧克力制的"
ice-cream,"冰淇淋
"
cafe,"n. 咖啡馆, 酒店"
coffee,"n. 咖啡, 咖啡色
"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
cream,"n. 乳酪, 奶油, 面霜
"
cheese,"n. 乳酪
"
noodle,"n. 面条, 笨蛋"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
food,"n. 食物, 养料
"
menu,"n. 菜单, (功能)选择单
"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
black,"n. 黑色, 黑颜料
a. 黑色的"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
yellow,"n. 黄色
a. 黄色的"
gray,"n. 灰色, 暗淡
a. 灰色的, 灰白的, 面色苍白的, 年老的, 老练的, 阴沉的
v. (使)变灰色"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
boat,"n. 船
vi. 乘船
vt. 以船运"
river,"n. 河, 江
"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
steamboat,"n. 汽船, 轮船"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
text,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
diary,"n. 日记
"
chapter,"n. 章, 篇, 重要章节
"
brochure,"n. 小册子, 小册"
pamphlet,"n. 小册子, 活页文选"
desk,"n. 书桌, 办公桌, 工作台"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
library,"n. 图书馆, 藏书, 库
"
borrow,"vt. 借, 借入, 借用
vi. 借
"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
dish,"n. 盘子, 碟, 菜肴
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
courage,"n. 勇气, 胆量"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
hero,"n. 英雄, 超越常人者, 男主角"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
destroy,"vt. 破坏, 毁坏, 消灭"
damage,"n. 损害, 伤害
v. 损害"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
breakfast,n. 早餐
lunch,n. 午餐
supper,n. 晚餐
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
restaurant,"n. 餐馆, 饭店"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
hotel,"n. 旅馆, 客栈"
inn,"n. 旅馆, 客栈
vi. 住旅馆"
eat,"v. 吃, 腐蚀"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
thirsty,"a. 口渴的, 渴望的, 干燥的"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
tea,"n. 茶, 茶叶
"
breath,"n. 呼吸, 气息, 瞬间
"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
road,"n. 路, 道路, 公路, 途径, 方法
"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
street,"n. 街道, 马路, 街区
a. 街道的"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
broom,"n. 扫帚, 金雀花
vt. 扫除"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
build,"v. 建立, 建筑
n. 构造, 体格"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
candle,"n. 蜡烛
vt. 对着光检查"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
bush,"n. 矮树丛
"
forest,"n. 森林, 林区
vt. 植树于"
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
woolen,"n. 毛制品
a. 羊毛的, 羊毛制的, 毛织的"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
diamond,"n. 钻石, 菱形
"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
carbon,"n. 碳, 副本, 复写纸
"
coal,"n. 煤, 木炭
v. 加煤"
tin,"n. 锡, 马口铁, 罐头
vt. 在...镀锡于
a. 锡制的
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
