accustom,vt. 使习惯于
comedy,"n. 喜剧, 有趣的事情"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
comma,"n. 逗点, 逗号"
conditioner,"n. 调节器, 土壤团粒结构促进剂
"
cookery,"n. 烹调法, 烹调术"
cookie,"n. 饼干, 小甜点
"
cooler,"n. 冷却器
"
cosmetic,"n. 化妆品
a. 化妆用的"
costly,"a. 昂贵的, 奢华的, 费用大的"
costume,"n. 装束, 服装"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
coupon,"n. 息票, 赠券
"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
crocodile,n. 鳄鱼
crossroads,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
crumb,"n. 碎屑, 面包屑, 少许
vt. 捏碎, 弄碎"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
cucumber,"n. 黄瓜
"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
curry,"n. 咖哩粉, 咖哩饭菜
vt. 用咖哩粉调味, 用马梳梳, 制革"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
debut,"n. 初次登台, 开张
v. 初次登台"
deli,n. 熟食店；熟食品（等于delicatessen）
delicatessen,n. 熟食店
dessert,n. 餐后甜点
dietary,"a. 饮食的
n. 规定食物"
dine,"vi. 用正餐, 进餐
vt. 宴请"
doll,"n. 洋娃娃, 无头脑的美丽女人"
domino,"n. 化装外衣, 面具, 骨牌, 多米诺骨牌"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
drummer,"n. 鼓手, 旅行推销员
"
drumstick,"n. 鼓槌, 鸡腿下段"
drunk,"a. 喝醉了的
drink的过去式"
drunken,a. 酒醉的
dumpling,"n. 面团布丁, 团子"
earring,"n. 耳环, 耳饰"
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
enjoyment,"n. 享乐, 快乐, 享受
"
entertaining,"a. 使人愉快的, 有趣的"
entertainment,"n. 娱乐, 款待, 娱乐表演"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fashionable,"a. 时髦的, 上流社会的, 流行的"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
flashlight,"n. 手电筒, 闪光信号灯"
flavor,"n. 滋味, 调味品
vt. 加味于"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
fowl,"n. 鸟, 飞禽, 家禽
vi. 打鸟"
freebie,n. 免费的东西；免费赠品（尤指戏院赠券）
frosting,"n. 霜状白糖, 无光泽面, 装饰玻璃粉
"
grocery,"n. 食品杂货店, 食品杂货业"
helping,"n. 帮助, 协助, 一份"
hide-and-seek,藏猫猫
jade,"n. 玉, 翡翠, 老马
a. 绿色的, 玉制的
v. (使)疲倦"
leaflet,"n. 小叶, 传单
"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
liking,"n. 爱好, 嗜好"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
lottery,"n. 奖券, 彩票, 运气
"
marmalade,n. (橘子等制成的)果酱
medal,"n. 奖牌, 勋章
vt. 授勋予"
medalist,"n. 奖章获得者, 奖章设计者, 奖章制作者, 勋章制作者, 奖章搜集者, 勋章搜集者"
melody,"n. 曲子, 美妙音乐, 曲调"
membership,"n. 会员的资格, 全体会员, 会员数目
"
mouthful,"n. 一口, 满口"
pamphlet,"n. 小册子, 活页文选"
pastime,"n. 消遣, 娱乐, 游戏"
pastry,"n. 油酥点心, 面粉糕饼"
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
poster,"n. 海报, 招贴, 驿马"
prawn,"n. 明虾, 对虾
vi. 捕虾"
priceless,"a. 无价的, 极贵重的"
promotion,"n. 晋级, 创建, 增进
"
propaganda,"n. 宣传, 宣传活动
"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
saloon,"n. 大厅, 沙龙, 酒吧, 会客室"
savoury,"a. 风味极佳的, 可口的, 味香的
n. 开胃菜"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
seasoning,"n. 调味品, 作料, 佐料, 锻练
"
self-service,自饲
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
shorts,"n. 短裤, (美)男人的短衬裤
"
site,"n. 位置, 场所, 地点
vt. 给...择址"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
spiced,a. 调过味的；含香料的；五香的
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
spinach,"n. 菠菜, 货币, 胡说八道"
starch,"n. 淀粉, 浆糊, 刻板
vt. 浆硬"
steak,"n. 牛排, 鱼排, 肉排"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
stylishly,"adv. 时髦地, 新式地"
stylistic,"a. 格式上的, 体裁上的"
tapestry,"n. 挂毯, 绒绣
vt. 用挂毯装饰"
tasty,"a. 好吃的, 可口的"
teaspoon,"n. 茶匙
"
turtleneck,"n. 圆翻领, 高翻领毛衣"
underwear,n. 内衣
uneatable,"a. 不能吃的, 难吃的"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
vase,"n. 花瓶, 瓶"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
wallet,"n. 皮夹
"
wig,"n. 假发, 斥责
vt. 给...戴假发, 激怒, 使发狂
vi. 激动, 发狂"
yeast,"n. 酵母
"
yolk,"n. 蛋黄, 卵黄
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
adjacent,"a. 毗连的, 邻近的, 连接的
"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
collide,"vi. 碰撞, 互撞, 抵触"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
convenience,"n. 方便, 便利的事物, 方便的时候"
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
convey,"vt. 传达, 运输, 转让
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
divert,"vt. 转移, 使欢娱
vi. 转移"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fanciful,"a. 奇怪的, 稀奇的, 想像的"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
forecaster,n. 预报员
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
harbour,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
hitch,"n. 猛拉, 急推, 蹒跚, 故障
vt. 猛拉, 系住
vi. 蹒跚, 被钩住"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impressed,a. 外加的；印象深刻的；了不起的；受感动的
impressive,"a. 给人深刻印象的, 威严的"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
locate,"vt. 找出, 设于, 位于
vi. 定居"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
mounting,"n. 装备, 衬托纸, 舞台效果, 上马
"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
navigation,"n. 航行, 航海, 导航
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
unobstructed,"a. 没有障碍的, 没有阻挡的"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
punctuality,"n. 严守时间, 正确"
reservation,"n. 保留, 预定, 保留品, 保留地
"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
sling,"n. 投石器, 抛掷, 吊索, 吊钩
vt. 用投石器投掷, 用吊钩吊上, 吊起"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
swerve,"n. 转向, 弯曲, 背离
vi. 突然转向, 转弯, 背离
vt. 使突然转向, 使转弯, 使背离"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
swiftly,"adv. 很快地, 即刻"
tan,"n. 黄褐色, 鞣料, 马戏团
a. 黄褐色的, 鞣皮的
vi. 晒成棕褐色
vt. 把...晒黑, 鞣(革), 狠狠鞭打"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
terminally,"adv. 在末端, 末尾, 每期"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
transportation,"n. 运输, 输送, 交通车辆
"
unexpected,"a. 料想不到的, 突然的, 意外的
"
unexpectedly,"adv. 想不到的, 突然的, 意外的, 出乎意料的"
unpack,"vt. 从包裹中取出, 卸下, 打开
vi. 打开包裹
"
visa,"n. 签证
vt. 签发"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
airfield,n. 飞机场
airhostess,n. 空中小姐
airliner,"n. 班机, 大型客机"
airmail,n. 航空邮件
aisle,"n. 走廊, 侧廊, 过道
"
alley,"n. 小路, 巷"
asphalt,"n. 柏油
a. 用柏油铺成的
vt. 以柏油铺"
athletic,a. 运动的
athletics,n. 体育运动
atlas,"n. 地图集, 图表集
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
avenue,"n. 大街, 途径, 林荫路"
baggage,"n. 行李
"
bale,"n. 包, 捆, 货物, 灾难
vt. 打包, 捆包"
bottleneck,"n. 瓶颈
"
boulevard,n. 林荫大道
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
brooch,"n. 胸针, 领针"
brook,"n. 小溪
vt. 容忍"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
canyon,"n. 峡谷, 海底悬崖"
caravan,"n. 旅行队, 有篷顶的大车
"
chart,"n. 图表, 海图
vt. 制成图表
"
clearway,n. 超高速道路
coastal,"a. 海岸的, 沿海的, 沿岸的
"
coastline,n. 海岸线
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
courier,"n. 送快信的人, 伴游服务员
"
departure,"n. 离开, 出发, 违背, 偏离
"
depot,"n. 停车场, 车站, 贮藏所, 仓库
"
destination,"n. 目的地, 目标, 目的
"
diversion,"n. 转移
"
elevation,"n. 海拔, 提高, 仰角
"
engagement,"n. 诺言, 约会, 婚约, 交战
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
excursion,"n. 远足, 游览圆, 短程旅行
"
ferry,"n. 渡船, 渡口
"
ferryboat,n. 渡船
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
homeward,"a. 在归途上的, 向家的
adv. 在归途上, 向家地"
horseback,"n. 马背
adv. 在马背上, 骑在马上"
hovercraft,n. 气垫船
inconvenient,"a. 不便的, 有困难的"
junction,"n. 连接, 会合处, 交叉点
"
disjunction,"n. 分离, 分裂, 分断"
conjunction,"n. 连接词, 联合, 结合
"
knapsack,n. 背包
landing,"n. 登陆, 码头, 降落
"
landlady,"n. 女房东, 女地主"
landlord,"n. 房东, 地主
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
lane,"n. 小路, 巷, 弄, 单行道"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
lighthouse,n. 灯塔
limousine,n. 轿车
liner,"n. 班机, 划线者, 定期船, 衬里
"
luggage,"n. 行李, 皮箱"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
midway,"n. 中途, 中间, 娱乐场
a. 中途的, 中间的
adv. 中途"
motel,n. 汽车旅馆
motorist,"n. 开汽车者, 驾车旅行的人"
motorway,n. 高速公路
navigation,"n. 航行, 航海, 导航
"
outdoors,"n. 户外, 野外活动
adv. 在户外, 在野外"
outing,"n. 郊游, 远足
a. 远足适用的"
outwards,adv. 向外地
overcrowded,"a. 挤满的; 过度拥挤的
v. 拥挤(overcrowd的过去式和过去分词)"
paddle,"n. 桨, 划桨, 明轮翼
vi. 划桨, 戏水, 涉水
vt. 用桨划, 划船运送, 搅, 拌"
panorama,"n. 全景, 全貌, 概论, 范围"
passerby,"n. 过路人, 行人"
passport,"n. 护照, 手段, 通行证
"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
pickpocket,"n. 扒手
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
roadside,"n. 路旁, 路边
a. 路边的"
roadway,"n. 车道, 道路, 轨道
"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
rocky,"a. 岩石的, 多石的, 像岩石的, 无情的, 摇动的, 摇晃的"
rod,"n. 竿, 笞鞭, 小枝
"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
runway,"n. 跑道, 河床, 过道
"
saunter,"n. 闲逛, 漫步
vi. 闲逛, 漫步"
scuttle,"n. 箩, 筐, 急速逃走, 天窗, 小舱口
vi. 急速逃走, 急忙撤退
vt. 凿沉, 毁坏"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
shipboard,"n. 舷侧, 船
a. 船用的"
shortcut,"n. 捷径, 最短路线
"
sidelight,"n. 侧线, 侧灯, 舷灯, 杂闻"
sidewalk,n. 人行道
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
skateboard,n. 溜冰板
ski,"n. 滑雪橇
vi. 滑雪"
sledge,"n. 雪橇, 大锤
vt. 用雪橇搬运
vi. 坐雪橇"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
snapshot,"n. 快照, 抽点打印
"
souvenir,n. 纪念品
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
subway,"n. 地铁, 地道
vi. 乘地铁"
sunbathe,n. 日光浴
sunburn,"n. 日炙, 晒斑, 晒焦, 晒黑
vt.vi. (使)晒黑, (使)晒得退色, (使)晒焦"
suntan,"n. 晒黑, 土黄色军服"
tavern,"n. 酒馆, 客栈"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
transportation,"n. 运输, 输送, 交通车辆
"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
underpass,n. 地道
vehicle,"n. 交通工具, 车辆, 传播媒介
"
vessel,"n. 船, 容器, 脉管
"
waterfront,"n. 水边, 滨水区, 滩, 海滨, 江边"
waterway,"n. 航道, 水路
"
wharf,"n. 码头
vt. 卸在码头上, 靠码头
vi. 靠码头, 入坞"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
windscreen,n. 汽车的挡风玻璃
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addictive,a. 上瘾的
addiction,"n. 入迷, 瘾
"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adolescence,"n. 青春期
"
breakthrough,"n. 突破
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
clinical,"a. 临床的, 门诊部的
"
congestion,"n. 拥挤, 充血
"
constitution,"n. 构成, 宪法, 体格
"
constitutional,"a. 宪法的, 立宪的, 体质的
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
consultation,"n. 请教, 咨询, 磋商会
"
daze,"vt. 使茫然, 使发昏, 使眼花缭乱
n. 迷乱, 眼花缭乱"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
dazzlingly,adv. 耀眼地；灿烂地
delinquent,"n. 行为不良的人, 违法者
a. 怠忽的, 有过失的"
diagnose,v. 诊断
disinfect,"vt. 消毒
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
dosage,"n. 剂量, 用量, 配药
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
feeble,"a. 微弱的, 衰弱的, 无效的
"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
fragile,"a. 易碎的, 脆的
"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
frailty,"n. 弱点, 脆弱, 意志薄弱
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
reframe,"vt. 再构造, 重新制订, 再组织, 给...装上新框架"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
handicapped,"a. 残疾的
"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
