nursery,"n. 托儿所, 苗圃, 温床
"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
assert,"vt. 主张, 坚称, 断言
"
assertion,"n. 断言, 主张
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
representation,"n. 表示法, 表现, 陈述, 代表
"
representational,a. 代表的
consideration,"n. 考虑, 原因
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
reluctant,"a. 不情愿的, 勉强的
"
cliff,"n. 悬崖, 绝壁"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
version,"n. 一种描述, 版本, 译文
"
behaviour,"n. 行为, 举止
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
establishment,"n. 确立, 制定, 设施
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
equation,"n. 相等, 等式, 平衡
"
practical,"a. 实际的, 现实的, 实用性的
"
practically,"adv. 几乎, 差不多, 事实上"
practicality,"n. 实际性, 实用性, 实际事物"
impractical,"a. 不切实际的, 不能实行的, 不现实的, 不合情理的"
attain,"vt. 达到, 获得
vi. 达到"
arise,"vi. 站立, 出现, 起来"
species,"n. 种, 类, 外形
"
concept,"n. 观念, 概念
"
conception,"n. 观念, 概念
"
conceptual,"a. 概念的
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
departure,"n. 离开, 出发, 违背, 偏离
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
attitude,"n. 态度, 看法, 姿势
"
committee,"n. 委员会
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
fate,"n. 命运, 运气
vt. 注定"
absence,"n. 缺席, 缺乏, 没有
"
astonish,vt. 使惊讶
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
detach,"vt. 使分离, 分遣
"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
mentality,"n. 精神力, 智力, 头脑作用, 心态
"
generation,"n. 一代, 一世, 产生
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
terrify,"vt. 使恐惧, 恐吓"
psychology,"n. 心理学, 心理状态
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
psychologist,"n. 心理学家
"
paradise,"n. 天堂, 乐园, 伊甸园"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualification,"n. 资格, 条件, 限制
"
generate,"vt. 产生, 发生, 导致
"
generative,"a. 生殖的, 生产的, 有生殖力的
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
bravery,n. 勇敢
differ,"vi. 不一致, 不同
"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
option,"n. 选择权, 挑选, 选项
"
immediate,"a. 立即的, 直接的, 接近的
"
differentiate,"v. 区别, 区分"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
impersonal,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的
n. 非人称动词(或代词)"
declare,"v. 宣布, 声明, 申报, 断言"
declaration,"n. 宣告, 说明, 宣布
"
mountainous,"a. 多山的, 如山的, 巨大的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
majority,"n. 多数, 大半
"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
genius,"n. 天才, 天赋, 精神, 神魔
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
react,"vi. 起反应, 起作用, 反攻
"
reaction,"n. 反应, 反作用, 反动
"
overreact,"vi. 反应过度, 反作用过强"
virus,"n. 病毒, 滤过性病毒, 毒害
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
publicise,"vt. 公布, 为...做广告, 宣传"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
organism,"n. 生物, 有机体, 社会组织
"
session,"n. 期间, 开庭期, 会议, 学期
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accessibility,"n. 易接近, 可进入
"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
investigate,"v. 调查, 审查"
skilled,"a. 熟练的
"
numerous,"a. 很多的, 数目众多的, 多数的
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
available,"a. 可利用的, 可获得的, 有效的
"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
explore,"v. 探险, 探测, 探究"
exploration,"n. 探险, 踏勘, 探测
"
explorer,"n. 探险家, 探测者, 勘探器
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
sensitivity,"n. 敏感, 灵敏度
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approval,"n. 赞成, 批准
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
community,"n. 社区, 公众, 共有, 共同体
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
gravity,"n. 地心引力, 重力
"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
unify,"v. 统一, 使成一体"
unification,"n. 统一, 联合, 一致
"
tolerate,"vt. 宽容, 容许, 有耐力"
guidance,"n. 指导, 领导
"
tribe,"n. 宗族, 部落, 一群人
"
tribal,"a. 部落的, 宗族的"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
literature,"n. 文学, 文艺, 著作
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
customise,vt.<主英>=customize
necessity,"n. 需要, 必需品, 必然
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
comprise,"vt. 包含, 构成"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
admission,"n. 准许进入, 入场费, 录用, 承认
"
complaint,"n. 诉苦, 抱怨, 控诉
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confrontation,n. 对抗；对质；面对
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
urgent,"a. 紧急的, 急迫的, 催逼的
"
accelerate,"v. 加速, 促进"
acceleration,"n. 加速, 促进, 加速度
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
application,"n. 应用, 申请, 志愿书, 应用程序
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
religion,"n. 宗教, 信仰
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
minimal,"a. 最小的, 极微的, 最小限度的
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
intensify,"vt. 加强
vi. 强化"
intensity,"n. 强烈, 紧张, 强度
"
faith,"n. 信心, 信任, 忠实, 保证
"
faithfulness,"n. 忠诚, 诚实, 正确"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
considerable,"a. 相当的, 可观的, 重要的"
consist,"vi. 组成, 存在于, 一致"
liberty,"n. 自由, 特权, 许可, 冒失
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
deprive,"vt. 剥夺, 使丧失
"
diverse,"a. 不同的, 变化多的"
diversity,"n. 差异, 多样性
"
humanity,"n. 人性, 人类, 博爱"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
stabilise,"vt.vi. (使)稳定, (使)安定, (使)坚固
vt. 装稳定器"
surgeon,"n. 外科医生, 军医, 船医
"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
harbour,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
imply,"vt. 暗示, 意味
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
cell,"n. 单元, 细胞, 电池
"
poverty,"n. 贫穷, 贫困, 缺乏
"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engagement,"n. 诺言, 约会, 婚约, 交战
"
gene,"n. 基因
"
foresee,"vt. 预见, 预知"
foreseeable,"a. 可预知的, 能预测的
"
expectation,"n. 期待, 指望, 展望
"
unexpected,"a. 料想不到的, 突然的, 意外的
"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
cooperate,"vi. 合作, 协力, 配合
"
annoy,"vt. 使恼怒, 骚扰"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
dependence,"n. 依赖, 依存, 信赖
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
democracy,"n. 民主政治, 民主主义
"
permission,"n. 许可, 允许
"
occur,"vi. 发生, 被想到, 存在"
occurrence,"n. 发生, 事件, 出现
"
comedy,"n. 喜剧, 有趣的事情"
intelligent,"a. 聪明的, 智能的, 了解的"
sin,"n. 罪, 犯罪, 过失, 失礼
v. 犯"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
exemplify,"vt. 例证, 例示
"
administrator,"n. 管理人, 行政官
"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
element,"n. 元件, 元素, 要素
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
agenda,"pl. 议程, 日常工作事项
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
restrain,"vt. 抑制, 阻止, 束缚
"
restraint,"n. 抑制, 克制, 束缚
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
specialise,"vt. 特加指明, 列举, 使专门化, 限定...的范围
vt.vi. (使)特化, (使)专化
vi. 成为专家, 专务, 专攻, 专门研究, 逐条详述"
specialisation,n. <主英> =specialization
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
ban,"n. 禁令
vt. 禁止, 取缔"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
temptation,"n. 诱惑, 诱惑物
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
length,"n. 长度, 长, 期间, 一段
"
lengthen,"vt. 加长, 使延长
vi. 变长"
lengthy,"a. 冗长的, 漫长的"
publication,"n. 出版物, 出版, 公布
"
priority,"n. 优先权, 优先
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contributory,"n. 贡献者, 捐助者
a. 贡献的, 捐助的"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
deny,"v. 否认, 拒绝"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
atmosphere,"n. 大气, 空气, 气氛
"
atmospheric,"a. 大气的
"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
inhabit,"vt. 居住于, 占据, 栖息"
inhabitant,"n. 居民, 居住者
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
probability,"n. 可能性, 或然率, 几率, 概率
"
improbable,"a. 不大可能的, 不象发生的, 荒谬可笑的
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
edition,"n. 版本, 版, 翻版"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
instantly,"adv. 立即地, 即刻地"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
maid,"n. 少女, 未婚女子, 女仆"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生"
geneticist,"n. 遗传学家
"
define,"vt. 定义, 规定, 使明确
"
definition,"n. 定义, 精确度, 清晰度
"
redefine,"vt. 重新定义
"
sufficient,"a. 充分的, 足够的
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
presentation,"n. 赠与, 描述, 介绍
"
divorce,"n. 离婚
vt. 与...离婚"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
