accuracy,"n. 精确, 正确
"
systematical,"a. 有系统的, 成体系的, 有秩序的, 有组织的, 分类学的, 故意的, 彻底的"
thoughtful,"a. 深思的, 体贴的"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
audience,"n. 听众, 观众, 读者
"
basis,"n. 基础, 主要成分
"
bold,"a. 大胆的
n. 粗体
"
bunch,"n. 串, 束
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compute,"v. 计算, 估算
n. 计算, 估算"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
depict,"vt. 描述, 描写"
diminish,"v. (使)减少, (使)变小"
distinct,"a. 清楚的, 显著的, 不同的"
distinction,n. 区别
drought,"n. 干旱, 缺乏"
elderly,"a. 过了中年的, 稍老的"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
existence,"n. 存在, 生存
"
fabricate,"vt. 制造, 建造, 装配, 伪造"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
monotonous,"a. 单调的, 无变化的"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
obstacle,"n. 障碍, 妨害物, 阻碍"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
preceding,"a. 在前的, 前面的
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
priority,"n. 优先权, 优先
"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
regarding,prep. 关于
regardless,"a. 不管, 不注意, 不顾"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
site,"n. 位置, 场所, 地点
vt. 给...择址"
spacious,"a. 广大的, 宽广的"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
threat,"n. 恐吓, 恶兆, 威胁
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
trash,"n. 垃圾, 废物
vt. 丢弃"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
admission,"n. 准许进入, 入场费, 录用, 承认
"
alter,v. 改变
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
comparable,"a. 可比较的, 比得上的"
comparative,"a. 比较的, 相对的
n. 对手"
comparison,"n. 比较, 对照, 比喻
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
deceive,"v. 欺骗, 行骗"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
evaluate,"vt. 评估, 评价, 赋值"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
haste,"n. 匆忙, 急忙"
hasty,"a. 匆匆的, 轻率的, 性怠的"
horizon,"n. 地平线, 眼界, (天)视地平"
indicate,"vt. 显示, 象征, 指示, 指出
"
indicative,"a. 指示的, 象征的, 表示...的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
length,"n. 长度, 长, 期间, 一段
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
mood,"n. 心情, 气氛, 生气, 基调
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
precise,"a. 精确的, 严谨的, 明确的
"
propel,"vt. 推进, 驱使
"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
replace,"vt. 代替, 替换, 放回, 归还
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
sake,"n. 目的, 缘故, 理由"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
situated,"a. 位于...的, 坐落在...的, 处于某种境地的
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
starve,"v. (使)饿死, (使)挨饿"
sturdy,"a. 强健的, 健全的
"
surgeon,"n. 外科医生, 军医, 船医
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
ascertain,"vt. 确定, 查明
"
augment,"v. 增加, 增长
"
bearing,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
concede,"vt. 承认, 退让
vi. 让步"
consensus,"n. 合意, 一致, 同感
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
decent,"a. 有分寸的, 得体的, 大方的"
deprive,"vt. 剥夺, 使丧失
"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
distinguish,"v. 区别, 辨别"
dubious,"a. 可疑的, 不确定的"
elegant,"a. 优雅的, 端庄的, 高雅的"
enormous,"a. 巨大的, 庞大的"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
facilitate,"vt. 使容易, 促进, 帮助
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
financial,"a. 财政的, 金融的
"
formula,"n. 客套语, 公式, 准则
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
horror,"n. 惊骇, 恐怖, 惨状
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
innovation,"n. 改革, 创新
"
intend,"vt. 计划, 打算, 意思是
"
intention,"n. 意图, 目的, 含义
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
lest,"conj. 以免, 唯恐, 免得"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
morality,"n. 道德, 教训, 品行
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
privacy,"n. 隐私, 隐居, 秘密
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
property,"n. 财产, 所有权, 性质, 属性
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
statement,"n. 陈述, 指令, 声明
"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
surpass,"vt. 超越, 凌驾, 胜过"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
thrift,"n. 节约, 茂盛, 海石竹"
tremendous,"a. 巨大的, 非常的, 可怕的"
unemployment,"n. 失业, 失业人数
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
zeal,"n. 热心, 热衷, 热诚"
accomplish,"vt. 完成, 达到, 实现, 使完美"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
appal,"vt. 使惊骇, 使吓坏"
appall,"vt. 使丧胆, 使惊骇"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
authentic,"a. 可靠的, 可信的, 真正的
"
behalf,"n. 利益, 方面"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
conceive,"vt. 构思, 认为
vi. 怀孕"
create,"vt. 创造, 建造, 引起, 任命"
creative,"a. 有创造力的, 创作的, 产生的"
decisive,"a. 决定性的, 坚定的, 果断的"
derive,"vt. 得自
vi. 起源"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
distort,"vt. 扭曲, 歪曲
"
dumb,"a. 哑的, 不说话的, 无声音的
"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
element,"n. 元件, 元素, 要素
"
enrich,"vt. 使富足, 使肥沃"
evidence,"n. 根据, 证据, 迹象
"
evident,"a. 显然的, 明显的"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansion,"n. 扩充, 开展, 膨胀
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
gravity,"n. 地心引力, 重力
"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
immense,"a. 极广大的, 无边的, 非常好的"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
innumerable,"a. 无数的, 数不清的"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
orthodox,"a. 正统的, 传统的, 惯常的"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
predict,"v. 预知, 预言, 预报"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
satisfactory,"a. 满意的, 赎罪的
"
session,"n. 期间, 开庭期, 会议, 学期
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
specialise,"vt. 特加指明, 列举, 使专门化, 限定...的范围
vt.vi. (使)特化, (使)专化
vi. 成为专家, 专务, 专攻, 专门研究, 逐条详述"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
statical,"[机] 静止的, 静的"
subjective,"a. 主观的, 个人的
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
unexpected,"a. 料想不到的, 突然的, 意外的
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
accordance,"n. 一致, 和谐"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
amateur,"n. 业余爱好者, 外行, 爱好者
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
aspect,"n. 外观, 方面, 面貌, 方向
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
calculate,"v. 计算, 预测, 计划, 打算"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
compatible,"a. 能共处的, 可并立的, 适合的
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
consequence,"n. 结果, 重要性
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contribution,"n. 捐助, 捐助之物, 贡献
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
disappear,"vi. 消失, 不见"
distract,"vt. 转移, 分心, 使发狂"
elevate,"vt. 举起, 提拔, 鼓舞"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
forth,"adv. 往前, 以后, 向外"
forthcoming,"a. 即将来临的
n. 来临"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
immerse,"vt. 沉浸, 使陷入
"
indignant,"a. 愤怒的, 愤慨的"
input,"n. 输入, 输入电路
vt. 输入
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
junction,"n. 连接, 会合处, 交叉点
"
liability,"n. 责任, 债务, 倾向
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
moreover,"adv. 而且, 此外"
network,"n. 网络, 广播网, 网状物
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
occasional,"a. 偶然的, 临时的
"
outbreak,"n. 爆发, 暴动
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
predominant,"a. 占主导地位的, 卓越的
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
proposal,"n. 提议, 计划, 求婚
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
skilful,"a. 灵巧的, 熟练的, 制作精巧的"
skillful,"a. 熟练的, 巧妙的
"
skilled,"a. 熟练的
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
specify,"vt. 详列, 指定, 说明
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
accordingly,"adv. 相应地, 因此, 于是"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
aspire,"vi. 渴望, 立志于"
autonomy,"n. 自治, 自治权
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
compel,"vt. 强迫, 迫使"
concept,"n. 观念, 概念
"
conception,"n. 观念, 概念
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
considerable,"a. 相当的, 可观的, 重要的"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
consideration,"n. 考虑, 原因
"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
ensure,"vt. 确定, 保证, 担保, 保护
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
evoke,"vt. 唤起, 引起, 召(魂)
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generalise,"vt.vi. (使)一般化, 从...引出一般性结论, 泛论, 概括出, 归纳出, 使广义化"
